IGRA,LAT,LON,Number,Name,Fir_date,Last_date,Other_Number
ACM00078861,17.117,-61.783,10.0,COOLIDGE FIELD (UA) ,10,1993,13896
AEM00041217,24.4333,54.65,16.0,ABU DHABI INTERNATIONAL AIRPOR ,16,2019,36305
AEXUAE05467,25.25,55.37,4.0,SHARJAH ,4,1942,2477
AFM00040911,36.7,67.2,378.0,MAZAR-I-SHARIF ,378,2014,2179
AFM00040913,36.6667,68.9167,433.0,KUNDUZ ,433,2013,4540
AFM00040938,34.217,62.217,977.0,HERAT ,977,1988,1107
AFM00040948,34.55,69.2167,1791.0,KABUL AIRPORT ,1791,2019,17864
AFM00040990,31.5,65.85,1010.0,KANDAHAR AIRPORT ,1010,2014,5934
AGM00060355,36.883,6.9,3.0,SKIKDA ,3,1976,639
AGM00060360,36.833,7.817,4.0,ANNABA ,4,2008,30088
AGM00060390,36.6833,3.2167,25.0,DAR-EL-BEIDA ,25,2019,68401
AGM00060402,36.717,5.067,6.0,BEJAIA-AEROPORT ,6,1988,12372
AGM00060419,36.283,6.617,694.0,CONSTANTINE ,694,2008,21262
AGM00060425,36.217,1.333,141.0,CHLEF ,141,1977,3213
AGM00060430,36.3,2.233,715.0,MILIANA ,715,1990,14988
AGM00060445,36.183,5.25,1040.0,SETIF ,1040,1989,5598
AGM00060475,35.417,8.117,811.0,TEBESSA ,811,1991,6009
AGM00060490,35.633,-0.6,90.0,ORAN-SENIA ,90,2008,38241
AGM00060511,35.35,1.467,989.0,TIARET ,989,1988,280
AGM00060525,34.8,5.733,87.0,BISKRA ,87,2002,19871
AGM00060535,34.6833,3.25,1144.0,DJELFA ,1144,1989,9814
AGM00060549,33.5333,-0.2833,1123.0,MECHERIA ,1123,2012,6933
AGM00060550,33.683,1.0,1341.0,EL-BAYADH ,1341,1991,10962
AGM00060559,33.5,6.783,63.0,EL-OUED ,63,2008,28456
AGM00060566,32.383,3.817,450.0,GHARDAIA ,450,2008,31999
AGM00060571,31.5,-2.25,811.0,BECHAR ,811,2019,57978
AGM00060580,31.9333,5.4,152.0,OUARGLA ,152,1997,2887
AGM00060590,30.567,2.867,397.0,EL-GOLEA ,397,2008,31528
AGM00060602,30.133,-2.167,505.0,BENI-ABBES ,505,1990,7838
AGM00060607,29.25,0.283,312.0,TIMIMOUN ,312,1991,9666
AGM00060611,28.05,9.633,563.0,IN-AMENAS ,563,1989,12360
AGM00060620,27.883,-0.283,263.0,ADRAR ,263,2008,22304
AGM00060625,26.9667,1.0833,309.0,AOULEF ,309,1962,3606
AGM00060630,27.2333,2.5,273.0,IN-SALAH ,273,2019,48670
AGM00060640,26.5,8.417,558.0,ILLIZI ,558,1986,502
AGM00060656,27.7,-8.1667,443.0,TINDOUF ,443,2019,13194
AGM00060670,24.267,9.467,968.0,DJANET ,968,1985,6261
