,#YY,MM,DD,hh,mm,WDIR,WSPD,GST,ATMP,DEWP
0,2017,1,1,0,0,280,8.8,10.3,1.3,-6.2
1,2017,1,1,0,10,280,7.2,8.2,1.2,-6.4
2,2017,1,1,0,20,280,7.2,7.7,1.1,-6.2
3,2017,1,1,0,30,280,7.7,8.2,1.0,-6.2
4,2017,1,1,0,40,280,7.7,8.8,0.9,-6.3
5,2017,1,1,0,50,270,7.7,9.3,0.9,-5.9
6,2017,1,1,1,0,270,6.2,7.2,0.8,-5.8
7,2017,1,1,1,10,270,6.7,8.2,0.7,-6.2
8,2017,1,1,1,20,270,6.2,6.7,0.6,-5.9
9,2017,1,1,1,30,280,6.7,7.7,0.6,-6.0
10,2017,1,1,1,40,270,6.7,7.7,0.5,-5.8
11,2017,1,1,1,50,280,6.2,7.7,0.5,-6.0
12,2017,1,1,2,0,280,5.7,6.2,0.4,-5.9
13,2017,1,1,2,10,280,5.7,6.7,0.4,-5.9
14,2017,1,1,2,20,270,5.7,6.7,0.3,-5.9
15,2017,1,1,2,30,270,5.7,6.2,0.2,-5.8
16,2017,1,1,2,40,270,5.7,6.2,0.2,-5.8
17,2017,1,1,2,50,270,6.7,7.7,0.2,-5.7
18,2017,1,1,3,0,280,7.2,8.2,0.1,-5.9
19,2017,1,1,3,10,270,6.2,7.2,0.1,-5.7
20,2017,1,1,3,20,270,6.7,7.2,0.0,-5.6
21,2017,1,1,3,30,270,6.7,7.7,0.0,-5.5
22,2017,1,1,3,40,270,7.2,8.2,-0.1,-5.8
23,2017,1,1,3,50,270,6.7,7.2,-0.1,-5.7
24,2017,1,1,4,0,250,5.1,6.2,-0.2,-5.5
25,2017,1,1,4,10,250,6.2,6.7,-0.2,-5.8
26,2017,1,1,4,20,240,6.7,7.7,-0.3,-5.8
27,2017,1,1,4,30,250,5.7,6.7,-0.3,-5.9
28,2017,1,1,4,40,260,5.7,6.7,-0.5,-5.4
29,2017,1,1,4,50,270,5.7,6.7,-0.7,-5.6
30,2017,1,1,5,0,270,4.6,4.6,-0.8,-5.3
31,2017,1,1,5,10,280,4.6,5.7,-0.9,-5.3
32,2017,1,1,5,20,280,4.6,5.1,-1.0,-5.4
33,2017,1,1,5,30,270,5.1,5.7,-1.1,-5.5
34,2017,1,1,5,40,270,5.7,6.2,-1.2,-5.7
35,2017,1,1,5,50,280,4.6,5.1,-1.2,-5.5
36,2017,1,1,6,0,270,5.1,5.7,-1.3,-5.7
37,2017,1,1,6,10,270,5.7,6.2,-1.5,-5.9
