YYYY,MM,DD,hh,mm,WD,WSP,D GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2006,3,1,0,0,280,12.4,14.4,99,99,99,999,9999,9.8,999,999,99,99
2006,3,30,14,0,190,4.6,5.7,99,99,99,999,9999,5.6,999,999,99,99
2006,3,30,16,0,180,6.7,7.2,99,99,99,999,9999,8.1,999,999,99,99
2006,3,30,17,0,180,8.8,9.3,99,99,99,999,9999,10.3,999,999,99,99
2006,3,30,18,0,190,8.8,10.3,99,99,99,999,9999,11.9,999,999,99,99
2006,3,30,19,0,170,8.8,9.3,99,99,99,999,9999,11.6,999,999,99,99
2006,3,30,20,0,190,10.3,11.3,99,99,99,999,9999,14.7,999,999,99,99
2006,3,30,21,0,190,9.3,10.8,99,99,99,999,9999,14.7,999,999,99,99
2006,3,30,22,0,190,9.8,11.3,99,99,99,999,9999,14.6,999,999,99,99
2006,3,30,23,0,190,8.8,10.8,99,99,99,999,9999,14.2,999,999,99,99
2006,3,31,0,0,180,10.8,11.3,99,99,99,999,9999,15,999,999,99,99
2006,3,31,1,0,180,11.3,12.4,99,99,99,999,9999,13.9,999,999,99,99
2006,3,31,2,0,180,11.8,12.4,99,99,99,999,9999,13.6,999,999,99,99
2006,3,31,4,0,180,11.3,11.8,99,99,99,999,9999,13,999,999,99,99
2006,3,31,5,0,180,10.8,11.3,99,99,99,999,9999,12.4,999,999,99,99
2006,3,31,6,0,190,12.4,13.4,99,99,99,999,9999,13.4,999,999,99,99
2006,3,31,7,0,200,13.4,14.9,99,99,99,999,9999,15.1,999,999,99,99
2006,3,31,8,0,200,14.4,14.9,99,99,99,999,9999,15.5,999,999,99,99
2006,3,31,9,0,220,18.5,22.7,99,99,99,999,9999,17.9,999,999,99,99
2006,3,31,10,0,220,12.4,13.4,99,99,99,999,9999,16.1,999,999,99,99
2006,3,31,11,0,210,13.4,14.4,99,99,99,999,9999,12.4,999,999,99,99
2006,3,31,12,0,220,15.4,17.5,99,99,99,999,9999,13.3,999,999,99,99
2006,3,31,13,0,230,16.5,18.5,99,99,99,999,9999,13.6,999,999,99,99
2006,3,31,14,0,240,14.4,17.5,99,99,99,999,9999,13.6,999,999,99,99
2006,3,31,15,0,240,13.9,16.5,99,99,99,999,9999,14.5,999,999,99,99
2006,3,31,16,0,230,14.4,16,99,99,99,999,9999,15.2,999,999,99,99
2006,3,31,17,0,230,17.5,19.6,99,99,99,999,9999,16.8,999,999,99,99
2006,3,31,18,0,230,20.1,24.7,99,99,99,999,9999,17.8,999,999,99,99
2006,3,31,19,0,250,20.1,26.3,99,99,99,999,9999,18.5,999,999,99,99
2006,3,31,20,0,260,13.4,20.1,99,99,99,999,9999,18.9,999,999,99,99
2006,3,31,21,0,280,17,21.6,99,99,99,999,9999,17.1,999,999,99,99
2006,3,31,22,0,270,13.9,19.6,99,99,99,999,9999,15.4,999,999,99,99
2006,3,31,23,0,290,16.5,19.6,99,99,99,999,9999,12.4,999,999,99,99
2006,4,1,1,0,290,12.9,16.5,99,99,99,999,9999,9.8,999,999,99,99
2006,4,1,2,0,290,18.5,22.1,99,99,99,999,9999,8.9,999,999,99,99
2006,4,1,3,0,280,17,20.6,99,99,99,999,9999,8.6,999,999,99,99
2006,4,1,4,0,280,13.4,16,99,99,99,999,9999,8.4,999,999,99,99
2006,4,1,5,0,290,12.4,14.9,99,99,99,999,9999,8.1,999,999,99,99
2006,4,1,6,0,290,13.9,17.5,99,99,99,999,9999,8,999,999,99,99
2006,4,1,7,0,300,10.8,12.9,99,99,99,999,9999,7.7,999,999,99,99
2006,4,1,8,0,310,10.3,12.9,99,99,99,999,9999,7.7,999,999,99,99
2006,4,1,9,0,300,10.3,12.9,99,99,99,999,9999,7.2,999,999,99,99
2006,4,1,10,0,310,8.8,10.3,99,99,99,999,9999,7.2,999,999,99,99
2006,4,1,11,0,310,8.2,9.3,99,99,99,999,9999,7.3,999,999,99,99
2006,4,1,12,0,320,7.7,9.8,99,99,99,999,9999,7.5,999,999,99,99
2006,4,1,13,0,330,8.2,10.3,99,99,99,999,9999,7.4,999,999,99,99
2006,4,1,14,0,330,7.2,8.2,99,99,99,999,9999,7.4,999,999,99,99
2006,4,1,15,0,330,6.7,7.2,99,99,99,999,9999,7.4,999,999,99,99
2006,4,1,16,0,350,6.2,6.7,99,99,99,999,9999,7.2,999,999,99,99
2006,4,1,17,0,20,5.7,6.7,99,99,99,999,9999,5.7,999,999,99,99
2006,4,1,18,0,20,8.8,9.3,99,99,99,999,9999,4.8,999,999,99,99
2006,4,1,19,0,30,5.7,6.2,99,99,99,999,9999,5,999,999,99,99
2006,4,1,21,0,80,4.1,4.6,99,99,99,999,9999,4.2,999,999,99,99
2006,4,1,22,0,90,4.1,4.6,99,99,99,999,9999,3.7,999,999,99,99
2006,4,1,23,0,130,2.6,3.6,99,99,99,999,9999,3.5,999,999,99,99
2006,4,2,0,0,200,1.5,2.1,99,99,99,999,9999,3.5,999,999,99,99
2006,4,2,1,0,120,2.1,2.6,99,99,99,999,9999,3.5,999,999,99,99
2006,4,2,2,0,70,2.1,2.6,99,99,99,999,9999,3.4,999,999,99,99
2006,4,2,3,0,80,3.1,3.6,99,99,99,999,9999,3.2,999,999,99,99
2006,4,2,4,0,90,2.6,3.1,99,99,99,999,9999,3.1,999,999,99,99
2006,4,2,5,0,90,2.1,2.6,99,99,99,999,9999,3,999,999,99,99
2006,4,2,6,0,130,1.5,1.5,99,99,99,999,9999,2.9,999,999,99,99
2006,4,2,7,0,170,1.5,2.1,99,99,99,999,9999,3,999,999,99,99
2006,4,2,8,0,160,2.1,2.6,99,99,99,999,9999,3.1,999,999,99,99
2006,4,2,9,0,150,2.6,3.1,99,99,99,999,9999,3,999,999,99,99
2006,4,2,10,0,120,5.7,6.2,99,99,99,999,9999,2.9,999,999,99,99
2006,4,2,11,0,120,7.2,8.2,99,99,99,999,9999,3.6,999,999,99,99
2006,4,2,12,0,120,8.2,8.8,99,99,99,999,9999,3.9,999,999,99,99
2006,4,2,13,0,130,8.2,9.3,99,99,99,999,9999,4,999,999,99,99
2006,4,2,14,0,140,7.7,8.8,99,99,99,999,9999,4.5,999,999,99,99
2006,4,2,15,0,160,8.2,9.3,99,99,99,999,9999,4.9,999,999,99,99
2006,4,2,16,0,180,9.3,10.8,99,99,99,999,9999,6.5,999,999,99,99
2006,4,2,17,0,150,12.9,14.4,99,99,99,999,9999,6.2,999,999,99,99
2006,4,2,18,0,170,8.8,9.8,99,99,99,999,9999,7.3,999,999,99,99
2006,4,2,19,0,180,9.3,11.3,99,99,99,999,9999,8.1,999,999,99,99
2006,4,2,20,0,170,9.3,9.8,99,99,99,999,9999,7.5,999,999,99,99
2006,4,2,21,0,180,9.8,10.3,99,99,99,999,9999,9.2,999,999,99,99
2006,4,2,22,0,180,11.3,12.4,99,99,99,999,9999,10.5,999,999,99,99
2006,4,2,23,0,170,10.3,10.8,99,99,99,999,9999,10,999,999,99,99
2006,4,3,0,0,180,7.2,7.7,99,99,99,999,9999,10.1,999,999,99,99
2006,4,3,1,0,170,9.8,10.3,99,99,99,999,9999,11.5,999,999,99,99
2006,4,3,2,0,220,3.6,4.6,99,99,99,999,9999,12.6,999,999,99,99
2006,4,3,3,0,200,11.8,13.4,99,99,99,999,9999,12.1,999,999,99,99
2006,4,3,4,0,10,7.2,7.7,99,99,99,999,9999,12.6,999,999,99,99
2006,4,3,5,0,220,5.7,6.7,99,99,99,999,9999,11.6,999,999,99,99
2006,4,3,6,0,210,7.7,8.2,99,99,99,999,9999,12.4,999,999,99,99
2006,4,3,7,0,200,7.7,9.3,99,99,99,999,9999,10.7,999,999,99,99
2006,4,3,8,0,190,5.7,6.2,99,99,99,999,9999,11.1,999,999,99,99
2006,4,3,9,0,230,7.2,8.8,99,99,99,999,9999,11.3,999,999,99,99
2006,4,3,10,0,240,5.7,6.7,99,99,99,999,9999,10.3,999,999,99,99
2006,4,3,11,0,300,7.7,9.8,99,99,99,999,9999,10.4,999,999,99,99
2006,4,3,12,0,360,16,18,99,99,99,999,9999,5.5,999,999,99,99
2006,4,3,13,0,350,16,20.1,99,99,99,999,9999,6.2,999,999,99,99
2006,4,3,14,0,360,18.5,22.7,99,99,99,999,9999,4.4,999,999,99,99
2006,4,3,15,0,350,17,19,99,99,99,999,9999,4,999,999,99,99
2006,4,3,16,0,340,12.4,14.4,99,99,99,999,9999,5.9,999,999,99,99
2006,4,3,17,0,330,11.8,14.4,99,99,99,999,9999,6.6,999,999,99,99
2006,4,3,19,0,350,10.8,13.9,99,99,99,999,9999,7.1,999,999,99,99
2006,4,3,20,0,340,11.8,14.4,99,99,99,999,9999,7.7,999,999,99,99
2006,4,3,21,0,340,10.8,12.9,99,99,99,999,9999,8.6,999,999,99,99
2006,4,3,22,0,340,9.8,11.8,99,99,99,999,9999,9.4,999,999,99,99
2006,4,3,23,0,330,10.3,12.4,99,99,99,999,9999,9.5,999,999,99,99
2006,4,4,0,0,340,9.3,10.8,99,99,99,999,9999,9.8,999,999,99,99
2006,4,4,1,0,340,9.3,10.3,99,99,99,999,9999,9.8,999,999,99,99
2006,4,4,2,0,320,7.7,10.8,99,99,99,999,9999,9.5,999,999,99,99
2006,4,4,3,0,320,7.7,8.8,99,99,99,999,9999,9.1,999,999,99,99
2006,4,4,4,0,310,7.2,8.2,99,99,99,999,9999,8.5,999,999,99,99
2006,4,4,5,0,310,8.2,10.3,99,99,99,999,9999,7.6,999,999,99,99
2006,4,4,6,0,320,8.2,9.8,99,99,99,999,9999,7,999,999,99,99
2006,4,4,7,0,320,7.7,8.8,99,99,99,999,9999,6.5,999,999,99,99
2006,4,4,8,0,300,7.7,9.3,99,99,99,999,9999,5.6,999,999,99,99
2006,4,4,9,0,310,8.8,10.3,99,99,99,999,9999,5.2,999,999,99,99
2006,4,4,10,0,310,8.2,9.8,99,99,99,999,9999,4.8,999,999,99,99
2006,4,4,11,0,310,7.7,9.3,99,99,99,999,9999,4.5,999,999,99,99
2006,4,4,12,0,310,7.7,9.8,99,99,99,999,9999,4.3,999,999,99,99
2006,4,4,13,0,310,8.8,10.3,99,99,99,999,9999,4.5,999,999,99,99
2006,4,4,14,0,310,7.7,9.3,99,99,99,999,9999,4.7,999,999,99,99
2006,4,4,15,0,310,10.8,13.9,99,99,99,999,9999,5.3,999,999,99,99
2006,4,4,16,0,300,9.3,11.8,99,99,99,999,9999,6.1,999,999,99,99
2006,4,4,17,0,300,10.3,11.8,99,99,99,999,9999,7,999,999,99,99
2006,4,4,18,0,320,9.3,10.3,99,99,99,999,9999,7.9,999,999,99,99
2006,4,4,19,0,330,9.3,10.8,99,99,99,999,9999,8.9,999,999,99,99
2006,4,4,20,0,310,9.8,13.4,99,99,99,999,9999,9.9,999,999,99,99
2006,4,4,21,0,320,10.3,11.8,99,99,99,999,9999,10.7,999,999,99,99
2006,4,4,22,0,320,11.3,14.9,99,99,99,999,9999,11.6,999,999,99,99
2006,4,4,23,0,310,13.9,16,99,99,99,999,9999,12.2,999,999,99,99
2006,4,5,0,0,320,10.8,12.4,99,99,99,999,9999,12.3,999,999,99,99
