#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2008,1,1,0,0,140,4.1,5.1,99,99,99,999,9999,-0.3,999,999,99,99
2008,1,1,1,0,100,3.1,3.6,99,99,99,999,9999,-0.4,999,999,99,99
2008,1,1,2,0,50,4.1,4.6,99,99,99,999,9999,-0.4,999,999,99,99
2008,1,1,3,0,340,4.6,5.1,99,99,99,999,9999,-0.4,999,999,99,99
2008,1,1,4,0,310,6.7,7.7,99,99,99,999,9999,-0.4,999,999,99,99
2008,1,1,5,0,330,13.9,16.5,99,99,99,999,9999,-0.9,999,999,99,99
2008,1,1,10,0,300,11.8,15.4,99,99,99,999,9999,-4.9,999,999,99,99
2008,1,1,11,0,300,11.3,14.4,99,99,99,999,9999,-4.9,999,999,99,99
2008,1,1,12,0,290,10.3,12.4,99,99,99,999,9999,-4.8,999,999,99,99
2008,1,1,14,0,280,10.8,12.9,99,99,99,999,9999,-5.7,999,999,99,99
2008,1,1,15,0,280,10.3,11.8,99,99,99,999,9999,-5.6,999,999,99,99
2008,1,1,16,0,280,9.3,12.4,99,99,99,999,9999,-5.8,999,999,99,99
2008,1,1,17,0,290,8.8,10.3,99,99,99,999,9999,-5.7,999,999,99,99
2008,1,1,18,0,290,8.8,11.3,99,99,99,999,9999,-5.7,999,999,99,99
2008,1,1,19,0,290,9.8,11.8,99,99,99,999,9999,-5.5,999,999,99,99
2008,1,1,20,0,300,10.3,12.4,99,99,99,999,9999,-5.7,999,999,99,99
2008,1,1,21,0,300,11.3,13.4,99,99,99,999,9999,-6.1,999,999,99,99
2008,1,1,22,0,290,12.4,13.9,99,99,99,999,9999,-6.8,999,999,99,99
2008,1,1,23,0,300,10.3,11.3,99,99,99,999,9999,-7.5,999,999,99,99
2008,1,2,0,0,290,10.3,12.9,99,99,99,999,9999,-8.4,999,999,99,99
2008,1,2,1,0,290,11.3,13.9,99,99,99,999,9999,-8.6,999,999,99,99
2008,1,2,2,0,290,11.3,14.9,99,99,99,999,9999,-9.5,999,999,99,99
2008,1,2,3,0,290,11.8,15.4,99,99,99,999,9999,-10.5,999,999,99,99
2008,1,2,4,0,300,11.3,14.4,99,99,99,999,9999,-11.4,999,999,99,99
2008,1,2,7,0,300,11.3,13.4,99,99,99,999,9999,-13.7,999,999,99,99
2008,1,2,8,0,290,10.8,12.9,99,99,99,999,9999,-14,999,999,99,99
2008,1,2,9,0,300,9.3,11.8,99,99,99,999,9999,-14.1,999,999,99,99
2008,1,2,11,0,280,8.8,11.3,99,99,99,999,9999,-14.3,999,999,99,99
2008,1,2,12,0,290,8.2,10.3,99,99,99,999,9999,-14.1,999,999,99,99
2008,1,2,13,0,290,8.2,10.3,99,99,99,999,9999,-13.9,999,999,99,99
2008,1,2,14,0,280,8.2,9.8,99,99,99,999,9999,-13.9,999,999,99,99
2008,1,2,16,0,280,9.8,12.4,99,99,99,999,9999,-11.6,999,999,99,99
2008,1,2,17,0,290,7.7,9.8,99,99,99,999,9999,-10,999,999,99,99
2008,1,2,18,0,290,7.7,9.3,99,99,99,999,9999,-8.3,999,999,99,99
2008,1,2,19,0,300,8.2,9.8,99,99,99,999,9999,-7.2,999,999,99,99
2008,1,2,20,0,300,7.2,8.8,99,99,99,999,9999,-6.6,999,999,99,99
2008,1,2,21,0,310,6.7,8.2,99,99,99,999,9999,-6,999,999,99,99
2008,1,2,23,0,280,7.7,9.3,99,99,99,999,9999,-6.5,999,999,99,99
2008,1,3,1,0,290,8.8,10.8,99,99,99,999,9999,-8.2,999,999,99,99
2008,1,3,2,0,280,8.2,9.3,99,99,99,999,9999,-8.7,999,999,99,99
2008,1,3,3,0,280,8.2,9.8,99,99,99,999,9999,-9.7,999,999,99,99
