#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2010,1,1,0,0,320,11.8,13.9,99,99,99,999,9999,-7.5,999,999,99,99
2010,1,1,1,0,300,9.8,12.9,99,99,99,999,9999,-8.5,999,999,99,99
2010,1,1,2,0,300,10.3,13.4,99,99,99,999,9999,-8.5,999,999,99,99
2010,1,1,3,0,300,10.3,13.4,99,99,99,999,9999,-9,999,999,99,99
2010,1,1,4,0,300,9.3,12.4,99,99,99,999,9999,-9.5,999,999,99,99
2010,1,1,5,0,300,9.3,11.8,99,99,99,999,9999,-9.8,999,999,99,99
2010,1,1,6,0,300,8.8,11.8,99,99,99,999,9999,-10.5,999,999,99,99
2010,1,1,7,0,290,8.2,11.3,99,99,99,999,9999,-10.8,999,999,99,99
2010,1,1,8,0,300,7.2,9.3,99,99,99,999,9999,-11,999,999,99,99
2010,1,1,9,0,290,7.2,8.8,99,99,99,999,9999,-11.1,999,999,99,99
2010,1,1,10,0,290,6.7,8.8,99,99,99,999,9999,-11.2,999,999,99,99
2010,1,1,11,0,290,6.2,8.8,99,99,99,999,9999,-11.3,999,999,99,99
2010,1,1,12,0,280,6.7,7.7,99,99,99,999,9999,-11.9,999,999,99,99
2010,1,1,13,0,280,7.2,9.3,99,99,99,999,9999,-12.2,999,999,99,99
2010,1,1,14,0,280,7.7,9.3,99,99,99,999,9999,-12.2,999,999,99,99
2010,1,1,15,0,280,6.7,8.2,99,99,99,999,9999,-11.5,999,999,99,99
2010,1,1,16,0,280,6.7,7.7,99,99,99,999,9999,-11,999,999,99,99
2010,1,1,17,0,270,5.7,7.2,99,99,99,999,9999,-10,999,999,99,99
2010,1,1,18,0,280,5.7,7.2,99,99,99,999,9999,-9.1,999,999,99,99
2010,1,1,19,0,280,7.2,9.8,99,99,99,999,9999,-8.3,999,999,99,99
2010,1,1,20,0,290,7.2,9.3,99,99,99,999,9999,-7.9,999,999,99,99
