#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2017,1,1,0,0,280,8.8,10.3,99,99,99,999,9999,1.3,999,-6.2,99,99
2017,1,1,0,10,280,7.2,8.2,99,99,99,999,9999,1.2,999,-6.4,99,99
2017,1,1,0,20,280,7.2,7.7,99,99,99,999,9999,1.1,999,-6.2,99,99
2017,1,1,0,30,280,7.7,8.2,99,99,99,999,9999,1,999,-6.2,99,99
2017,1,1,0,40,280,7.7,8.8,99,99,99,999,9999,0.9,999,-6.3,99,99
2017,1,1,0,50,270,7.7,9.3,99,99,99,999,9999,0.9,999,-5.9,99,99
2017,1,1,1,0,270,6.2,7.2,99,99,99,999,9999,0.8,999,-5.8,99,99
2017,1,1,1,10,270,6.7,8.2,99,99,99,999,9999,0.7,999,-6.2,99,99
2017,1,1,1,20,270,6.2,6.7,99,99,99,999,9999,0.6,999,-5.9,99,99
2017,1,1,1,30,280,6.7,7.7,99,99,99,999,9999,0.6,999,-6,99,99
2017,1,1,1,40,270,6.7,7.7,99,99,99,999,9999,0.5,999,-5.8,99,99
2017,1,1,1,50,280,6.2,7.7,99,99,99,999,9999,0.5,999,-6,99,99
2017,1,1,2,0,280,5.7,6.2,99,99,99,999,9999,0.4,999,-5.9,99,99
2017,1,1,2,10,280,5.7,6.7,99,99,99,999,9999,0.4,999,-5.9,99,99
2017,1,1,2,20,270,5.7,6.7,99,99,99,999,9999,0.3,999,-5.9,99,99
2017,1,1,2,30,270,5.7,6.2,99,99,99,999,9999,0.2,999,-5.8,99,99
2017,1,1,2,40,270,5.7,6.2,99,99,99,999,9999,0.2,999,-5.8,99,99
2017,1,1,2,50,270,6.7,7.7,99,99,99,999,9999,0.2,999,-5.7,99,99
2017,1,1,3,0,280,7.2,8.2,99,99,99,999,9999,0.1,999,-5.9,99,99
2017,1,1,3,10,270,6.2,7.2,99,99,99,999,9999,0.1,999,-5.7,99,99
2017,1,1,3,20,270,6.7,7.2,99,99,99,999,9999,0,999,-5.6,99,99
2017,1,1,3,30,270,6.7,7.7,99,99,99,999,9999,0,999,-5.5,99,99
2017,1,1,3,40,270,7.2,8.2,99,99,99,999,9999,-0.1,999,-5.8,99,99
2017,1,1,3,50,270,6.7,7.2,99,99,99,999,9999,-0.1,999,-5.7,99,99
2017,1,1,4,0,250,5.1,6.2,99,99,99,999,9999,-0.2,999,-5.5,99,99
2017,1,1,4,10,250,6.2,6.7,99,99,99,999,9999,-0.2,999,-5.8,99,99
2017,1,1,4,20,240,6.7,7.7,99,99,99,999,9999,-0.3,999,-5.8,99,99
2017,1,1,4,30,250,5.7,6.7,99,99,99,999,9999,-0.3,999,-5.9,99,99
2017,1,1,4,40,260,5.7,6.7,99,99,99,999,9999,-0.5,999,-5.4,99,99
2017,1,1,4,50,270,5.7,6.7,99,99,99,999,9999,-0.7,999,-5.6,99,99
