#YY,MM,DD,WDIR,WSPD,ATMP
2015,1,1,238.33333333333334,9.890476190476189,-5.928571428571429
2015,1,2,216.08695652173913,6.230434782608696,-2.2043478260869565
2015,1,3,181.91666666666666,5.654166666666666,0.3958333333333334
2015,1,4,313.75,8.779166666666667,-1.5458333333333334
2015,1,5,262.1666666666667,9.537499999999998,-16.145833333333332
2015,1,6,272.9583333333333,7.8374999999999995,-13.654166666666667
2015,1,7,291.17391304347825,11.495652173913042,-15.956521739130432
2015,1,8,232.69565217391303,11.391304347826088,-18.3
2015,1,9,266.375,11.762499999999998,-13.125000000000002
2015,1,10,234.08333333333334,9.195833333333333,-13.666666666666664
2015,1,11,209.45833333333334,8.6,-2.833333333333334
2015,1,12,302.7826086956522,11.243478260869566,-4.126086956521739
2015,1,13,107.78260869565217,9.921739130434782,-7.726086956521739
2015,1,14,215.79166666666666,5.441666666666667,-9.3
2015,1,15,229.79166666666666,8.716666666666667,-4.575
2015,1,16,216.04761904761904,5.571428571428571,-0.980952380952381
2015,1,17,189.08333333333334,12.179166666666667,2.9583333333333335
2015,1,18,264.4166666666667,8.062500000000002,3.5875000000000004
2015,1,19,193.43478260869566,4.260869565217392,1.0173913043478262
2015,1,20,185.52173913043478,4.782608695652174,1.0130434782608695
2015,1,21,259.9130434782609,9.243478260869566,-4.827056628805028e-18
2015,1,22,300.0833333333333,5.766666666666666,-0.55
2015,1,23,233.04166666666666,7.916666666666665,-0.5666666666666665
2015,1,24,258.125,8.174999999999997,1.679166666666667
2015,1,25,55.416666666666664,11.879166666666668,-0.11249999999999998
2015,1,26,105.17391304347827,7.9391304347826095,-3.804347826086958
2015,1,27,93.21739130434783,7.573913043478259,-2.3739130434782605
2015,1,28,139.52173913043478,7.517391304347826,-1.6260869565217388
2015,1,29,250.0,9.491666666666665,1.9124999999999996
2015,1,30,271.0,10.441666666666665,-2.9375
2015,1,31,232.7826086956522,5.460869565217392,-1.152173913043478
2015,2,1,63.904761904761905,28.280952380952385,-1.5571428571428574
2015,2,2,200.70833333333334,32.42499999999999,-8.241666666666665
2015,2,3,229.79166666666666,6.629166666666667,-8.629166666666668
2015,2,4,255.91304347826087,6.586956521739131,-5.182608695652172
2015,2,5,275.2083333333333,7.916666666666667,-11.216666666666663
2015,2,6,214.375,8.604166666666668,-6.449999999999999
2015,2,7,209.33333333333334,8.166666666666668,1.4749999999999999
2015,2,8,275.6666666666667,10.083333333333334,3.083333333333334
2015,2,9,125.70833333333333,16.187499999999996,-2.3874999999999997
2015,2,10,127.95833333333333,8.3,-3.004166666666666
2015,2,11,241.7826086956522,8.891304347826088,-0.10434782608695665
2015,2,12,298.7391304347826,13.069565217391302,-8.482608695652173
2015,2,13,246.47826086956522,7.052173913043476,-10.104347826086956
2015,2,14,296.75,13.379166666666665,-7.3083333333333345
2015,2,15,237.5,8.883333333333335,-14.612500000000004
2015,2,16,126.34782608695652,6.782608695652174,-11.652173913043478
2015,2,17,271.1818181818182,6.8090909090909095,-8.163636363636364
2015,2,18,302.77777777777777,12.455555555555556,-14.688888888888888
2015,2,19,297.9166666666667,9.354166666666666,-18.575
2015,2,20,223.54166666666666,8.170833333333333,-14.095833333333333
2015,2,21,153.66666666666666,7.079166666666667,-5.7625
2015,2,22,270.4583333333333,8.054166666666665,-5.7749999999999995
2015,2,23,282.7083333333333,7.870833333333333,-14.491666666666667
2015,2,24,223.95833333333334,10.666666666666666,-10.15
2015,2,25,211.79166666666666,7.808333333333334,-5.187500000000001
2015,2,26,110.04166666666667,15.1625,-7.908333333333332
2015,2,27,277.4782608695652,6.200000000000001,-12.078260869565218
2015,2,28,199.04166666666666,7.516666666666667,-11.212499999999999
2015,3,1,232.5,5.095833333333333,-5.879166666666667
2015,3,2,211.70833333333334,7.674999999999998,-5.420833333333333
2015,3,3,193.63636363636363,10.53181818181818,-1.3409090909090908
2015,3,4,290.375,8.825000000000001,-3.7208333333333337
2015,3,5,293.375,7.479166666666668,-10.108333333333334
2015,3,6,224.16666666666666,9.812500000000002,-9.320833333333333
2015,3,7,241.58333333333334,8.825000000000001,1.458333333333333
2015,3,8,248.5,5.688888888888889,3.9166666666666665
2015,3,9,214.45833333333334,6.458333333333333,4.3583333333333325
2015,3,10,211.58333333333334,5.958333333333333,6.554166666666666
2015,3,11,295.6190476190476,7.676190476190476,5.052380952380951
2015,3,12,131.29166666666666,4.058333333333334,3.079166666666666
2015,3,13,147.375,5.208333333333333,5.666666666666667
2015,3,14,227.25,7.483333333333335,8.25
2015,3,15,184.45833333333334,5.829166666666666,7.8791666666666655
2015,3,16,237.29166666666666,8.058333333333335,16.2
2015,3,17,142.125,17.000000000000004,3.491666666666667
2015,3,18,189.5,4.445833333333334,2.9499999999999997
2015,3,19,99.34782608695652,5.243478260869566,3.378260869565218
2015,3,20,201.16666666666666,6.320833333333333,6.2124999999999995
2015,3,21,166.20833333333334,12.037500000000001,4.5875
2015,3,22,47.833333333333336,11.15,-0.004166666666666661
2015,3,23,69.65,10.325,-1.165
2015,3,24,95.75,9.895833333333334,-0.5833333333333333
2015,3,25,200.83333333333334,9.925,4.05
2015,3,26,236.79166666666666,6.916666666666668,3.0916666666666655
2015,3,27,137.65217391304347,17.017391304347825,-2.5043478260869567
2015,3,28,50.541666666666664,9.7125,-3.158333333333333
2015,3,29,187.41666666666666,11.825000000000001,1.7249999999999999
2015,3,30,276.1304347826087,7.81304347826087,8.639130434782606
2015,3,31,230.04347826086956,8.969565217391304,6.321739130434783
2015,4,1,172.13636363636363,7.336363636363637,97.22727272727273
2015,4,2,205.7826086956522,11.008695652173913,14.934782608695654
2015,4,3,275.25,9.358333333333334,9.174999999999999
2015,4,4,264.2083333333333,8.212499999999999,5.675
2015,4,5,227.65217391304347,8.71304347826087,11.956521739130435
2015,4,6,229.8095238095238,6.899999999999999,5.623809523809523
2015,4,7,158.82608695652175,12.613043478260868,3.752173913043478
2015,4,8,94.375,8.454166666666667,4.816666666666666
2015,4,9,165.17391304347825,8.98695652173913,9.556521739130433
2015,4,10,247.23809523809524,12.628571428571428,12.290476190476191
2015,4,11,246.22727272727272,6.295454545454546,9.595454545454546
2015,4,12,172.38888888888889,8.5,14.38888888888889
2015,4,13,230.20833333333334,10.333333333333332,16.345833333333335
2015,4,14,197.95454545454547,4.8,11.968181818181819
2015,4,15,101.65217391304348,5.9913043478260875,7.782608695652174
2015,4,16,66.08333333333333,5.958333333333333,7.3374999999999995
2015,4,17,185.7826086956522,5.991304347826087,14.05217391304348
2015,4,18,280.0,10.522727272727273,13.022727272727268
2015,4,19,138.08695652173913,6.821739130434783,8.360869565217392
2015,4,20,249.04166666666666,9.866666666666667,8.808333333333334
2015,4,21,256.375,16.266666666666666,7.504166666666669
2015,4,22,285.875,13.370833333333332,4.816666666666666
2015,4,23,218.65217391304347,6.991304347826087,5.008695652173913
2015,4,24,138.41666666666666,5.345833333333332,6.245833333333334
2015,4,25,68.17391304347827,12.508695652173913,5.330434782608696
2015,4,26,159.91304347826087,12.139130434782608,5.152173913043478
2015,4,27,297.05,12.755,6.269999999999999
2015,4,28,182.2608695652174,6.3999999999999995,5.92608695652174
2015,4,29,240.16666666666666,5.941666666666667,6.8833333333333355
2015,4,30,261.75,13.420833333333334,5.858333333333333
2015,5,1,227.0,6.2956521739130435,7.739130434782608
2015,5,2,192.875,5.820833333333334,15.375
2015,5,3,206.54166666666666,7.450000000000002,61.012499999999996
2015,5,4,185.7826086956522,7.204347826086957,16.995652173913044
2015,5,5,237.36363636363637,7.1863636363636365,8.763636363636364
2015,5,6,88.83333333333333,6.241666666666667,8.299999999999999
2015,5,7,172.125,7.808333333333334,17.041666666666668
