#YY,MM,DD,hh,mm,WDIR,WSPD,ATMP
2017,1,1,0,0,262,10.1,0.1
2017,1,1,1,0,270,7.1,-0.3
2017,1,1,2,0,5,1.3,-0.7
2017,1,1,3,0,210,3.2,-1.1
2017,1,1,4,0,264,3.5,-1.6
2017,1,1,5,0,277,4.2,-2.2
2017,1,1,6,0,234,2.3,-2.6
2017,1,1,7,0,264,2.6,-2.9
2017,1,1,8,0,203,2.9,-3.2
2017,1,1,9,0,204,7.6,-3.3
2017,1,1,10,0,231,6.5,-3.6
2017,1,1,11,0,248,5.0,-4.2
2017,1,1,12,0,202,6.0,-4.3
2017,1,1,13,0,224,7.0,-4.3
2017,1,1,14,0,256,5.3,-3.1
2017,1,1,15,0,230,3.2,-1.2
2017,1,1,16,0,115,4.3,-0.3
2017,1,1,17,0,178,9.5,2.1
2017,1,1,18,0,213,5.3,3.2
2017,1,1,19,0,191,10.6,3.7
2017,1,1,20,0,208,7.8,4.2
2017,1,1,21,0,96,3.5,1.3
2017,1,1,22,0,159,4.3,1.1
2017,1,1,23,0,152,3.1,1.2
2017,1,2,0,0,156,3.8,1.1
2017,1,2,1,0,91,4.8,1.3
2017,1,2,2,0,110,2.8,1.2
2017,1,2,3,0,108,4.0,1.5
2017,1,2,4,0,288,1.0,0.8
2017,1,2,5,0,77,1.9,1.2
2017,1,2,6,0,112,4.1,1.6
2017,1,2,7,0,168,1.1,1.4
2017,1,2,8,0,75,1.9,1.3
2017,1,2,9,0,38,2.9,1.6
2017,1,2,10,0,96,3.9,2.3
2017,1,2,11,0,94,2.5,1.9
2017,1,2,12,0,117,3.4,2.0
2017,1,2,13,0,108,3.7,1.4
2017,1,2,14,0,111,1.8,1.7
2017,1,2,15,0,124,5.7,1.9
2017,1,2,16,0,143,7.5,1.9
2017,1,2,17,0,105,3.2,1.5
2017,1,2,18,0,106,1.5,2.0
2017,1,2,19,0,37,1.8,2.8
2017,1,2,20,0,200,0.9,2.6
2017,1,2,21,0,94,3.0,3.0
2017,1,2,22,0,50,7.3,2.8
2017,1,2,23,0,15,2.3,2.9
2017,1,3,0,0,98,5.1,2.8
2017,1,3,1,0,88,3.4,2.6
2017,1,3,2,0,75,2.6,3.0
2017,1,3,3,0,118,1.8,2.9
2017,1,3,4,0,247,0.7,3.3
2017,1,3,5,0,352,3.1,2.3
2017,1,3,6,0,351,2.3,3.2
2017,1,3,7,0,350,1.9,3.6
2017,1,3,8,0,345,3.3,2.5
2017,1,3,9,0,339,4.0,3.1
