#YY,MM,DD,hh,mm,WDIR,WSPD,ATMP
2018,1,1,0,0,318,13.5,-14.2
2018,1,1,1,0,314,10.6,-15
2018,1,1,2,0,312,11.6,-15.7
2018,1,1,3,0,304,10.2,-16.5
2018,1,1,4,0,296,5.8,-17.4
2018,1,1,5,0,299,7.5,-18.2
2018,1,1,6,0,286,13.1,-19
2018,1,1,7,0,297,7.4,-19.7
2018,1,1,8,0,311,8.1,-20.3
2018,1,1,9,0,252,8.4,-20.8
2018,1,1,10,0,286,15.1,-21.1
2018,1,1,11,0,289,8.7,-21.3
2018,1,1,12,0,249,4,-21.7
2018,1,1,13,0,267,11.1,-21.7
2018,1,1,14,0,272,10.7,-21.2
2018,1,1,15,0,248,10.5,-20.2
2018,1,1,16,0,270,4.5,-19.2
2018,1,1,17,0,264,10.4,-18.2
2018,1,1,18,0,261,10,-17.3
2018,1,1,19,0,281,9.7,-17
2018,1,1,20,0,230,4.4,-16.3
2018,1,1,21,0,268,12.7,-17
2018,1,1,22,0,259,9.5,-17.7
2018,1,1,23,0,269,11,-18.7
2018,1,2,0,0,275,14.5,-19
2018,1,2,1,0,252,8.2,-19
2018,1,2,2,0,277,10.2,-19.5
2018,1,2,3,0,284,10.6,-19.8
2018,1,2,4,0,265,11,-19.9
2018,1,2,5,0,268,9.3,-20.1
2018,1,2,6,0,273,10.3,-20.1
2018,1,2,7,0,265,11.9,-20.2
2018,1,2,8,0,259,4.8,-20.2
2018,1,2,9,0,250,3.9,-20.4
2018,1,2,10,0,228,7.8,-20.8
2018,1,2,11,0,249,6.6,-20.8
2018,1,2,12,0,233,9.3,-21
2018,1,2,13,0,248,9.4,-20.8
2018,1,2,14,0,214,7,-19.3
2018,1,2,15,0,214,10.9,-17.7
2018,1,2,16,0,249,9,-15.5
2018,1,2,17,0,225,11.5,-15.1
2018,1,2,18,0,216,5.1,-13.4
2018,1,2,19,0,257,7.7,-12.8
2018,1,2,20,0,238,20.4,-13.1
2018,1,2,21,0,197,16.7,-14.1
2018,1,2,22,0,229,9.9,-15.3
2018,1,2,23,0,222,13.3,-15.6
2018,1,3,0,0,213,12,-16.4
2018,1,3,1,0,207,9.3,-16.5
2018,1,3,2,0,201,9.5,-15.2
2018,1,3,3,0,239,7.6,-14.6
2018,1,3,4,0,213,5.2,-13.6
2018,1,3,5,0,213,11.7,-12.7
2018,1,3,6,0,211,11.4,-11.7
2018,1,3,7,0,248,10.7,-10.9
2018,1,3,8,0,260,13.3,-10.5
2018,1,3,9,0,218,17.6,-10.6
2018,1,3,10,0,275,3.7,-10.4
2018,1,3,11,0,232,4.5,-10.2
2018,1,3,12,0,265,4.9,-9.8
2018,1,3,13,0,274,7.7,-9.8
2018,1,3,14,0,279,8.3,-9.4
2018,1,3,15,0,266,9,-9.4
2018,1,3,16,0,319,9.1,-8.9
2018,1,3,17,0,310,6.8,-8.7
2018,1,3,18,0,316,7.2,-8.8
2018,1,3,19,0,293,11,-9
2018,1,3,20,0,308,13.5,-9
2018,1,3,21,0,321,4.8,-9.5
2018,1,3,22,0,305,7.9,-10.1
2018,1,3,23,0,300,9.5,-10.5
2018,1,4,0,0,315,3.5,-11.1
2018,1,4,1,0,280,12,-11.4
2018,1,4,2,0,325,10.5,-11.5
2018,1,4,3,0,290,16.4,-11.7
2018,1,4,4,0,314,14.6,-12.8
2018,1,4,5,0,293,11.5,-13.5
2018,1,4,6,0,328,12,-14.5
2018,1,4,7,0,303,14,-15
2018,1,4,8,0,292,12.6,-15.4
2018,1,4,9,0,302,13.4,-15.8
2018,1,4,10,0,318,12.1,-16.3
2018,1,4,11,0,276,7.2,-16.9
2018,1,4,12,0,250,7,-16.9
2018,1,4,13,0,292,5.3,-17.1
2018,1,4,14,0,291,12.5,-15.5
2018,1,4,15,0,339,17,-14
2018,1,4,16,0,283,10.2,-12.8
2018,1,4,17,0,304,5.6,-12.3
2018,1,4,18,0,316,5.4,-12
2018,1,4,19,0,320,6.4,-11.1
2018,1,4,20,0,340,10.7,-11.5
2018,1,4,21,0,309,8.6,-12
2018,1,4,22,0,326,7.7,-12.6
2018,1,4,23,0,316,5.8,-13.3
2018,1,5,0,0,290,13.8,-14
2018,1,5,1,0,314,14.4,-14.5
2018,1,5,2,0,265,12.2,-14.4
2018,1,5,3,0,299,7.6,-14.7
2018,1,5,4,0,300,7.8,-15
2018,1,5,5,0,290,5.2,-15.3
2018,1,5,6,0,323,12.2,-15.6
2018,1,5,7,0,267,11.3,-16.1
2018,1,5,8,0,267,6.6,-16.7
2018,1,5,9,0,299,5.6,-16.8
2018,1,5,10,0,293,7.9,-17
2018,1,5,11,0,308,8.7,-17.1
2018,1,5,12,0,314,7.1,-17.5
2018,1,5,13,0,325,8,-17.2
2018,1,5,14,0,306,11.3,-15.9
2018,1,5,15,0,293,10.1,-14.7
2018,1,5,16,0,276,7.7,-13.6
2018,1,5,17,0,316,7.8,-13
2018,1,5,18,0,330,12,-12.1
2018,1,5,19,0,234,4.4,-12.5
2018,1,5,20,0,320,8.9,-12.2
2018,1,5,21,0,317,10.9,-12.4
2018,1,5,22,0,316,5,-12.9
2018,1,5,23,0,312,5.1,-13.4
2018,1,6,0,0,282,4.4,-13.8
