#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2018,1,1,0,0,311,3.5,99,99,99,99,999,9999,-12,999,999,99,99
2018,1,1,1,0,329,4.7,99,99,99,99,999,9999,-13.2,999,999,99,99
2018,1,1,2,0,321,3.8,99,99,99,99,999,9999,-13.8,999,999,99,99
2018,1,1,3,0,316,2,99,99,99,99,999,9999,-14.6,999,999,99,99
2018,1,1,4,0,293,2.8,99,99,99,99,999,9999,-15.5,999,999,99,99
2018,1,1,5,0,288,3,99,99,99,99,999,9999,-16.4,999,999,99,99
2018,1,1,6,0,297,4.5,99,99,99,99,999,9999,-17.1,999,999,99,99
2018,1,1,7,0,302,4,99,99,99,99,999,9999,-17.8,999,999,99,99
2018,1,1,8,0,326,3.5,99,99,99,99,999,9999,-18.5,999,999,99,99
2018,1,1,9,0,301,3.8,99,99,99,99,999,9999,-19,999,999,99,99
2018,1,1,10,0,284,4.1,99,99,99,99,999,9999,-19.4,999,999,99,99
2018,1,1,11,0,311,2.9,99,99,99,99,999,9999,-19.7,999,999,99,99
2018,1,1,12,0,287,2.7,99,99,99,99,999,9999,-20.1,999,999,99,99
2018,1,1,13,0,283,3.5,99,99,99,99,999,9999,-20.4,999,999,99,99
2018,1,1,14,0,276,4.7,99,99,99,99,999,9999,-19.9,999,999,99,99
2018,1,1,15,0,288,3.9,99,99,99,99,999,9999,-19,999,999,99,99
2018,1,1,16,0,278,4.5,99,99,99,99,999,9999,-17.7,999,999,99,99
2018,1,1,17,0,266,4,99,99,99,99,999,9999,-16.5,999,999,99,99
2018,1,1,18,0,264,4.6,99,99,99,99,999,9999,-15.5,999,999,99,99
2018,1,1,19,0,295,3.6,99,99,99,99,999,9999,-14.7,999,999,99,99
2018,1,1,20,0,272,3.9,99,99,99,99,999,9999,-14.9,999,999,99,99
2018,1,1,21,0,268,5.1,99,99,99,99,999,9999,-15.5,999,999,99,99
2018,1,1,22,0,267,5.5,99,99,99,99,999,9999,-16.5,999,999,99,99
2018,1,1,23,0,263,4.1,99,99,99,99,999,9999,-17.4,999,999,99,99
2018,1,2,0,0,273,4,99,99,99,99,999,9999,-18,999,999,99,99
2018,1,2,1,0,280,3.7,99,99,99,99,999,9999,-18.3,999,999,99,99
2018,1,2,2,0,273,5.7,99,99,99,99,999,9999,-19.2,999,999,99,99
2018,1,2,3,0,273,4.7,99,99,99,99,999,9999,-19,999,999,99,99
2018,1,2,4,0,265,3.7,99,99,99,99,999,9999,-19.4,999,999,99,99
2018,1,2,5,0,263,4.2,99,99,99,99,999,9999,-19.4,999,999,99,99
2018,1,2,6,0,268,3.9,99,99,99,99,999,9999,-19.7,999,999,99,99
2018,1,2,7,0,269,4.1,99,99,99,99,999,9999,-19.8,999,999,99,99
2018,1,2,8,0,259,4.3,99,99,99,99,999,9999,-20.4,999,999,99,99
2018,1,2,9,0,262,3.5,99,99,99,99,999,9999,-20.7,999,999,99,99
2018,1,2,10,0,263,4.6,99,99,99,99,999,9999,-21.1,999,999,99,99
2018,1,2,11,0,261,4.5,99,99,99,99,999,9999,-21.4,999,999,99,99
2018,1,2,12,0,260,5.2,99,99,99,99,999,9999,-21.7,999,999,99,99
2018,1,2,13,0,260,5,99,99,99,99,999,9999,-21.4,999,999,99,99
2018,1,2,14,0,252,5.4,99,99,99,99,999,9999,-20.1,999,999,99,99
2018,1,2,15,0,254,5.8,99,99,99,99,999,9999,-17.9,999,999,99,99
2018,1,2,16,0,261,5.6,99,99,99,99,999,9999,-15.3,999,999,99,99
2018,1,2,17,0,257,5.9,99,99,99,99,999,9999,-14.3,999,999,99,99
2018,1,2,18,0,264,5.9,99,99,99,99,999,9999,-13.7,999,999,99,99
2018,1,2,19,0,257,4.3,99,99,99,99,999,9999,-12.8,999,999,99,99
2018,1,2,20,0,254,6,99,99,99,99,999,9999,-13,999,999,99,99
2018,1,2,21,0,227,4.9,99,99,99,99,999,9999,-13.6,999,999,99,99
2018,1,2,22,0,241,4.4,99,99,99,99,999,9999,-15.2,999,999,99,99
2018,1,2,23,0,236,5.3,99,99,99,99,999,9999,-16.4,999,999,99,99
2018,1,3,0,0,229,4.9,99,99,99,99,999,9999,-16.1,999,999,99,99
2018,1,3,1,0,246,7,99,99,99,99,999,9999,-15.6,999,999,99,99
2018,1,3,2,0,247,5.8,99,99,99,99,999,9999,-14.7,999,999,99,99
2018,1,3,3,0,238,6.7,99,99,99,99,999,9999,-14.4,999,999,99,99
2018,1,3,4,0,249,5.9,99,99,99,99,999,9999,-13.6,999,999,99,99
