"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2000-01","10.5","0","14","5","-3","8","3.7","0.29","60","3419","1.36","13.6","25.3","32.1","18.5",,"330","260","28.0","37"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2000-02","11.0","0","15","1","10","11","11.1","1.13","72","4317","1.97","11.6","34.1","42.2","25.9",,"180","210","30.0","39"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2000-03","9.6","2","0","0","20","0","0.0","0.33","78","4964","1.19","0.0","44.2","54.7","33.7",,"250","280","31.1","40"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2000-04","10.1","2","1","1","25","1","1.6","2.37","76","5498","5.15","1.6","47.2","57.6","36.8",,"10","10","33.1","41"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2000-05","9.4","63","0","0","40","0","0.0","0.74","86","5652","4.01","0.0","62.0","72.1","51.9",,"70","320","36.0","48"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2000-06","8.7","189",,"0","45",,"0.0","1.11","89","5711","4.33","0.0","67.2","76.8","57.7",,"310","310","31.1","38"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2000-07","7.2","384","0","0","52","0","0.0","1.46","89","7","3.58","0.0","71.0","79.8","62.3",,"300","320","28.0","35"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2000-08","7.8","616","0","0","54","0","0.0","1.11","92","10","2.26","0.0","72.4","81.8","63.0",,"240","250","40.9","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2000-09","9.2","725","0","0","42","0","0.0","2.37","93","129","3.60","0.0","64.7","74.6","54.8",,"90","310","29.1","37"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2000-10","8.7","742","0","0","30","0","0.0","0.65","83","423","1.12","0.0","56.0","66.1","46.0",,"330","320","25.1","32"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2000-11","10.1","742","0","0","14","0","0.1","1.26","73","1263","2.71","0.1","37.0","43.8","30.2",,"280","250","28.0","38"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2000-12","9.6","742","25","7","-9","17","9.5","0.62","37","2781","2.12","30.9","16.0","24.4","7.6",,"330","330","32.0","40"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2001-01","9.4","0","31","1","5","17","1.0","0.62","42","4036","1.12","1.5","24.5","30.8","18.3",,"330","120","28.0","32"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2001-02","10.5","0","9","1","-2","2","1.1","1.11","56","5125","2.58","2.2","26.1","34.0","18.2",,"260","270","38.0","49"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2001-03","10.3","0","4","1","16","4","4.0","0.46","56","6082","1.31","4.3","34.1","42.7","25.6",,"310","330","28.0","35"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2001-04","11.4","6","0","0","26","0","0.3","0.57","85","6464","2.82","0.3","52.5","64.2","40.7",,"240","240","36.9","49"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2001-05","9.2","61","0","0","37","0","0.0","0.81","89","6674","3.35","0.0","60.0","70.2","49.8",,"30","40","36.0","43"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2001-06","7.6","221","0","0","46","0","0.0","0.64","91","6763","2.61","0.0","67.4","77.5","57.3",,"360","10","36.9","44"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2001-07","7.4","523","0","0","49","0","0.0","1.30","95","5","2.96","0.0","74.6","85.0","64.1",,"330","40","25.9","35"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2001-08","7.4","778","0","0","56","0","0.0","4.31","95","5","12.25","0.0","73.2","81.8","64.7",,"320","330","36.9","46"
