"STATION","NAME","DATE","AWND","FMTM","PGTM","WDF2","WDF5","WSF2","WSF5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-01","7.38"," 0148"," 0134","  200","  210","17.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-02","13.87"," 1537"," 1536","  240","  230","25.9","36.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-03","12.75"," 1828"," 1248","   30","   80","17.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-04","13.42"," 0227"," 0210","  320","  300","21.9","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-05","11.18"," 2017"," 2102","  170","  160","23.0","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-06","11.18"," 0006"," 0030","  180","  170","19.9","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-07","9.62"," 0529"," 0529","  280","  290","23.0","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-08","11.63"," 1537"," 1529","  210","  200","19.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-09","6.49"," 2202"," 2201","  150","  160","13.0","15.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-10","14.09"," 1257"," 1134","  250","  240","28.0","36.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-11","14.99"," 0433"," 0358","  270","  260","28.0","36.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-12","11.41"," 2119"," 2118","   90","  100","25.9","34.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-13","11.86"," 0606"," 1249","  360","   20","21.0","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-14","7.61"," 1830"," 2011","  160","  180","17.9","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-15","9.62"," 1438"," 1436","  210","  210","16.1","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-16","14.54"," 1047"," 1046","   20","   10","28.0","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-17","13.42"," 1849"," 1836","  140","  160","21.0","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-18","8.50"," 1400"," 1359","  260","  270","17.0","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-19","5.82"," 2346"," 2248","  340","  350","19.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-20","14.32"," 0248"," 0204","  330","  330","28.0","34.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-21","5.82"," 0010"," 0204","  280","  290","13.0","15.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-22","7.61"," 0737"," 0849","  140","  140","15.0","16.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2000-01-23","13.65"," 1512"," 1512","  230","  240","21.9","25.1"
