"STATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN"
"USW00094846","2000-01-01","0.00","0.0","0.0","48","35"
"USW00094846","2000-01-02","0.01","0.0","0.0","60","35"
"USW00094846","2000-01-03","0.25","0.4","0.0","38","32"
"USW00094846","2000-01-04","0.00","0.0","0.0","33","23"
"USW00094846","2000-01-05","0.00","0.0","0.0","26","13"
"USW00094846","2000-01-06","0.00","0.0","0.0","41","26"
"USW00094846","2000-01-07","0.00","0.0","0.0","29","21"
"USW00094846","2000-01-08","0.01","0.0","0.0","45","29"
"USW00094846","2000-01-09","0.13","0.0","0.0","41","37"
"USW00094846","2000-01-10","0.11","0.0","0.0","46","37"
"USW00094846","2000-01-11","0.00","0.0","0.0","37","29"
"USW00094846","2000-01-12","0.00","0.0","0.0","35","27"
"USW00094846","2000-01-13","0.01","0.3","0.0","34","16"
"USW00094846","2000-01-14","0.00","0.0","0.0","28","11"
"USW00094846","2000-01-15","0.00","0.0","0.0","42","26"
"USW00094846","2000-01-16","0.00","0.0","0.0","37","25"
"USW00094846","2000-01-17","0.10","1.6","0.0","25","19"
"USW00094846","2000-01-18","0.00","0.0","1.0","32","17"
"USW00094846","2000-01-19","0.29","3.7","1.0","28","13"
"USW00094846","2000-01-20","0.00","0.0","4.0","19","0"
"USW00094846","2000-01-21","0.00","0.0","3.0","13","-3"
"USW00094846","2000-01-22","0.07","1.7","4.0","27","7"
"USW00094846","2000-01-23","0.00","0.0","4.0","28","3"
"USW00094846","2000-01-24","0.00","0.0","4.0","15","-3"
"USW00094846","2000-01-25","0.03","0.6","4.0","22","12"
"USW00094846","2000-01-26","0.00","0.0","4.0","22","7"
"USW00094846","2000-01-27","0.03","0.4","4.0","26","14"
"USW00094846","2000-01-28","0.00","0.0","4.0","30","11"
"USW00094846","2000-01-29","0.14","2.2","3.0","31","16"
"USW00094846","2000-01-30","0.17","2.7","8.0","31","24"
"USW00094846","2000-01-31","0.00","0.0","8.0","25","14"
"USW00094846","2000-02-01","0.00","0.0","7.0","31","18"
"USW00094846","2000-02-02","0.00","0.0","7.0","31","11"
"USW00094846","2000-02-03","0.00","0.0","6.0","37","29"
"USW00094846","2000-02-04","0.00","0.1","5.0","31","18"
"USW00094846","2000-02-05","0.00","0.0","5.0","27","15"
"USW00094846","2000-02-06","0.00","0.0","5.0","33","13"
"USW00094846","2000-02-07","0.00","0.0","5.0","37","14"
"USW00094846","2000-02-08","0.00","0.0","5.0","33","10"
"USW00094846","2000-02-09","0.00","0.0","5.0","48","33"
"USW00094846","2000-02-10","0.00","0.0","2.0","41","29"
"USW00094846","2000-02-11","0.00","0.0","0.0","29","18"
"USW00094846","2000-02-12","0.00","0.0","0.0","35","13"
"USW00094846","2000-02-13","0.04","0.4","0.0","31","29"
"USW00094846","2000-02-14","0.00","0.0","1.0","33","19"
"USW00094846","2000-02-15","0.00","0.0","0.0","43","19"
"USW00094846","2000-02-16","0.00","0.0","0.0","37","19"
"USW00094846","2000-02-17","0.00","0.0","0.0","35","18"
"USW00094846","2000-02-18","1.13","11.1","1.0","32","28"
"USW00094846","2000-02-19","0.00","0.0","11.0","33","25"
"USW00094846","2000-02-20","0.00","0.0","7.0","31","22"
"USW00094846","2000-02-21","0.00","0.0","6.0","47","22"
"USW00094846","2000-02-22","0.00","0.0","0.0","59","39"
"USW00094846","2000-02-23","0.00","0.0","0.0","66","51"
"USW00094846","2000-02-24","0.75","0.0","0.0","57","41"
"USW00094846","2000-02-25","0.00","0.0","0.0","72","38"
"USW00094846","2000-02-26","0.05","0.0","0.0","64","48"
"USW00094846","2000-02-27","0.00","0.0","0.0","52","38"
"USW00094846","2000-02-28","0.00","0.0","0.0","55","30"
"USW00094846","2000-02-29","0.00","0.0","0.0","64","44"
"USW00094846","2000-03-01","0.05","0.0","0.0","56","36"
"USW00094846","2000-03-02","0.00","0.0","0.0","40","25"
"USW00094846","2000-03-03","0.00","0.0","0.0","48","22"
"USW00094846","2000-03-04","0.00","0.0","0.0","62","29"
"USW00094846","2000-03-05","0.00","0.0","0.0","69","34"
"USW00094846","2000-03-06","0.00","0.0","0.0","70","32"
"USW00094846","2000-03-07","0.00","0.0","0.0","78","53"
"USW00094846","2000-03-08","0.01","0.0","0.0","78","56"
"USW00094846","2000-03-09","0.01","0.0","0.0","63","28"
"USW00094846","2000-03-10","0.00","0.0","0.0","34","26"
"USW00094846","2000-03-11","0.00","0.0","0.0","35","24"
"USW00094846","2000-03-12","0.00","0.0","0.0","47","20"
"USW00094846","2000-03-13","0.00","0.0","0.0","44","34"
"USW00094846","2000-03-14","0.00","0.0","0.0","58","32"
"USW00094846","2000-03-15","0.29","0.0","0.0","65","34"
"USW00094846","2000-03-16","0.01","0.0","0.0","37","28"
"USW00094846","2000-03-17","0.00","0.0","0.0","36","27"
"USW00094846","2000-03-18","0.00","0.0","0.0","43","25"
"USW00094846","2000-03-19","0.09","0.0","0.0","42","36"
"USW00094846","2000-03-20","0.33","0.0","0.0","55","42"
"USW00094846","2000-03-21","0.01","0.0","0.0","51","42"
"USW00094846","2000-03-22","0.00","0.0","0.0","59","43"
"USW00094846","2000-03-23","0.00","0.0","0.0","62","38"
"USW00094846","2000-03-24","0.17","0.0","0.0","68","46"
"USW00094846","2000-03-25","0.00","0.0","0.0","61","44"
"USW00094846","2000-03-26","0.13","0.0","0.0","68","36"
"USW00094846","2000-03-27","0.04","0.0","0.0","56","38"
"USW00094846","2000-03-28","0.04","0.0","0.0","44","33"
"USW00094846","2000-03-29","0.00","0.0","0.0","51","29"
"USW00094846","2000-03-30","0.00","0.0","0.0","51","28"
"USW00094846","2000-03-31","0.00","0.0","0.0","63","26"
"USW00094846","2000-04-01","0.00","0.0","0.0","57","47"
"USW00094846","2000-04-02","0.00","0.0","0.0","57","44"
"USW00094846","2000-04-03","0.00","0.0","0.0","60","43"
"USW00094846","2000-04-04","0.00","0.0","0.0","46","29"
"USW00094846","2000-04-05","0.00","0.0","0.0","63","25"
"USW00094846","2000-04-06","0.00","0.0","0.0","64","42"
"USW00094846","2000-04-07","0.45","1.6","0.0","52","30"
"USW00094846","2000-04-08","0.00","0.0","1.0","41","27"
"USW00094846","2000-04-09","0.00","0.0","0.0","58","32"
"USW00094846","2000-04-10","0.10","0.0","0.0","40","33"
"USW00094846","2000-04-11","0.02","0.0","0.0","39","29"
"USW00094846","2000-04-12","0.00","0.0","0.0","49","29"
"USW00094846","2000-04-13","0.00","0.0","0.0","63","34"
"USW00094846","2000-04-14","0.00","0.0","0.0","76","40"
"USW00094846","2000-04-15","0.00","0.0","0.0","72","40"
"USW00094846","2000-04-16","1.21","0.0","0.0","49","39"
"USW00094846","2000-04-17","0.00","0.0","0.0","42","39"
"USW00094846","2000-04-18","0.00","0.0","0.0","55","40"
"USW00094846","2000-04-19","0.63","0.0","0.0","57","47"
"USW00094846","2000-04-20","2.37","0.0","0.0","65","41"
"USW00094846","2000-04-21","0.22","0.0","0.0","52","35"
"USW00094846","2000-04-22","0.00","0.0","0.0","65","31"
"USW00094846","2000-04-23","0.10","0.0","0.0","51","42"
"USW00094846","2000-04-24","0.00","0.0","0.0","64","40"
"USW00094846","2000-04-25","0.00","0.0","0.0","61","37"
"USW00094846","2000-04-26","0.00","0.0","0.0","65","38"
"USW00094846","2000-04-27","0.00","0.0","0.0","68","38"
"USW00094846","2000-04-28","0.02","0.0","0.0","70","37"
"USW00094846","2000-04-29","0.03","0.0","0.0","56","40"
"USW00094846","2000-04-30","0.00","0.0","0.0","71","37"
"USW00094846","2000-05-01","0.16","0.0","0.0","67","46"
"USW00094846","2000-05-02","0.00","0.0","0.0","71","43"
"USW00094846","2000-05-03","0.00","0.0","0.0","77","48"
"USW00094846","2000-05-04","0.00","0.0","0.0","81","63"
"USW00094846","2000-05-05","0.00","0.0","0.0","84","64"
"USW00094846","2000-05-06","0.00","0.0","0.0","86","62"
"USW00094846","2000-05-07","0.00","0.0","0.0","77","64"
"USW00094846","2000-05-08","0.71","0.0","0.0","85","66"
"USW00094846","2000-05-09","0.49","0.0","0.0","67","51"
"USW00094846","2000-05-10","0.00","0.0","0.0","64","46"
"USW00094846","2000-05-11","0.34","0.0","0.0","76","58"
"USW00094846","2000-05-12","0.26","0.0","0.0","85","60"
"USW00094846","2000-05-13","0.00","0.0","0.0","60","45"
"USW00094846","2000-05-14","0.00","0.0","0.0","63","40"
"USW00094846","2000-05-15","0.00","0.0","0.0","70","43"
"USW00094846","2000-05-16","0.19","0.0","0.0","68","54"
"USW00094846","2000-05-17","0.06","0.0","0.0","69","52"
"USW00094846","2000-05-18","0.74","0.0","0.0","69","46"
"USW00094846","2000-05-19","0.02","0.0","0.0","48","44"
"USW00094846","2000-05-20","0.00","0.0","0.0","63","47"
"USW00094846","2000-05-21","0.00","0.0","0.0","69","44"
"USW00094846","2000-05-22","0.02","0.0","0.0","78","55"
"USW00094846","2000-05-23","0.00","0.0","0.0","81","57"
"USW00094846","2000-05-24","0.00","0.0","0.0","80","56"
"USW00094846","2000-05-25","0.00","0.0","0.0","76","51"
"USW00094846","2000-05-26","0.04","0.0","0.0","71","51"
"USW00094846","2000-05-27","0.45","0.0","0.0","66","53"
"USW00094846","2000-05-28","0.21","0.0","0.0","60","50"
"USW00094846","2000-05-29","0.00","0.0","0.0","67","44"
"USW00094846","2000-05-30","0.03","0.0","0.0","80","49"
"USW00094846","2000-05-31","0.30","0.0","0.0","76","57"
"USW00094846","2000-06-01","0.36","0.0",,"86","59"
"USW00094846","2000-06-02","0.01","0.0",,"70","50"
"USW00094846","2000-06-03","0.00","0.0",,"64","45"
"USW00094846","2000-06-04","0.03","0.0",,"61","51"
"USW00094846","2000-06-05","0.36","0.0",,"63","45"
"USW00094846","2000-06-06","0.00","0.0",,"74","45"
"USW00094846","2000-06-07","0.00","0.0",,"78","49"
"USW00094846","2000-06-08","0.00","0.0",,"89","66"
"USW00094846","2000-06-09","0.00","0.0",,"87","67"
"USW00094846","2000-06-10","0.00","0.0",,"88","72"
"USW00094846","2000-06-11","0.35","0.0",,"83","56"
"USW00094846","2000-06-12","0.48","0.0",,"60","53"
"USW00094846","2000-06-13","0.08","0.0",,"82","56"
"USW00094846","2000-06-14","1.11","0.0",,"78","66"
"USW00094846","2000-06-15","0.01","0.0",,"78","61"
"USW00094846","2000-06-16","0.04","0.0",,"73","61"
"USW00094846","2000-06-17","0.00","0.0",,"64","56"
"USW00094846","2000-06-18","0.00","0.0",,"74","55"
"USW00094846","2000-06-19","0.00","0.0",,"80","52"
"USW00094846","2000-06-20","0.39","0.0",,"81","66"
"USW00094846","2000-06-21","0.01","0.0",,"79","68"
"USW00094846","2000-06-22","0.00","0.0",,"82","61"
"USW00094846","2000-06-23","0.11","0.0",,"85","57"
"USW00094846","2000-06-24","0.94","0.0",,"77","64"
"USW00094846","2000-06-25","0.00","0.0",,"86","64"
"USW00094846","2000-06-26","0.01","0.0",,"79","65"
"USW00094846","2000-06-27","0.00","0.0",,"77","59"
"USW00094846","2000-06-28","0.03","0.0",,"69","55"
"USW00094846","2000-06-29","0.00","0.0",,"76","55"
"USW00094846","2000-06-30","0.00","0.0",,"80","52"
"USW00094846","2000-07-01","0.00","0.0","0.0","81","61"
"USW00094846","2000-07-02","1.46","0.0","0.0","84","64"
"USW00094846","2000-07-03","0.12","0.0","0.0","72","64"
"USW00094846","2000-07-04","0.00","0.0","0.0","79","61"
"USW00094846","2000-07-05","0.00","0.0","0.0","84","67"
"USW00094846","2000-07-06","0.00","0.0","0.0","82","65"
"USW00094846","2000-07-07","0.00","0.0","0.0","76","64"
"USW00094846","2000-07-08","0.00","0.0","0.0","84","61"
"USW00094846","2000-07-09","0.00","0.0","0.0","89","72"
"USW00094846","2000-07-10","1.04","0.0","0.0","82","64"
"USW00094846","2000-07-11","0.00","0.0","0.0","75","62"
"USW00094846","2000-07-12","0.00","0.0","0.0","80","64"
"USW00094846","2000-07-13","0.00","0.0","0.0","88","62"
"USW00094846","2000-07-14","0.00","0.0","0.0","88","66"
"USW00094846","2000-07-15","0.00","0.0","0.0","80","66"
"USW00094846","2000-07-16","0.00","0.0","0.0","84","62"
"USW00094846","2000-07-17","0.00","0.0","0.0","88","65"
"USW00094846","2000-07-18","0.01","0.0","0.0","71","61"
"USW00094846","2000-07-19","0.00","0.0","0.0","69","56"
"USW00094846","2000-07-20","0.00","0.0","0.0","75","59"
"USW00094846","2000-07-21","0.00","0.0","0.0","75","58"
"USW00094846","2000-07-22","0.00","0.0","0.0","72","53"
"USW00094846","2000-07-23","0.00","0.0","0.0","73","52"
"USW00094846","2000-07-24","0.00","0.0","0.0","79","53"
"USW00094846","2000-07-25","0.00","0.0","0.0","81","57"
"USW00094846","2000-07-26","0.00","0.0","0.0","84","61"
"USW00094846","2000-07-27","0.00","0.0","0.0","88","65"
"USW00094846","2000-07-28","0.02","0.0","0.0","84","64"
"USW00094846","2000-07-29","0.00","0.0","0.0","79","67"
"USW00094846","2000-07-30","0.28","0.0","0.0","74","68"
"USW00094846","2000-07-31","0.65","0.0","0.0","74","66"
"USW00094846","2000-08-01","0.05","0.0","0.0","83","62"
"USW00094846","2000-08-02","0.15","0.0","0.0","87","65"
"USW00094846","2000-08-03","0.00","0.0","0.0","72","54"
