STATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USW00094846,1/1/00,0,0,0,48,35
USW00094846,1/2/00,0.01,0,0,60,35
USW00094846,1/3/00,0.25,0.4,0,38,32
USW00094846,1/4/00,0,0,0,33,23
USW00094846,1/5/00,0,0,0,26,13
USW00094846,1/6/00,0,0,0,41,26
USW00094846,1/7/00,0,0,0,29,21
USW00094846,1/8/00,0.01,0,0,45,29
USW00094846,1/9/00,0.13,0,0,41,37
USW00094846,1/10/00,0.11,0,0,46,37
USW00094846,1/11/00,0,0,0,37,29
USW00094846,1/12/00,0,0,0,35,27
USW00094846,1/13/00,0.01,0.3,0,34,16
USW00094846,1/14/00,0,0,0,28,11
USW00094846,1/15/00,0,0,0,42,26
USW00094846,1/16/00,0,0,0,37,25
USW00094846,1/17/00,0.1,1.6,0,25,19
USW00094846,1/18/00,0,0,1,32,17
USW00094846,1/19/00,0.29,3.7,1,28,13
USW00094846,1/20/00,0,0,4,19,0
USW00094846,1/21/00,0,0,3,13,-3
USW00094846,1/22/00,0.07,1.7,4,27,7
USW00094846,1/23/00,0,0,4,28,3
USW00094846,1/24/00,0,0,4,15,-3
USW00094846,1/25/00,0.03,0.6,4,22,12
USW00094846,1/26/00,0,0,4,22,7
USW00094846,1/27/00,0.03,0.4,4,26,14
USW00094846,1/28/00,0,0,4,30,11
USW00094846,1/29/00,0.14,2.2,3,31,16
USW00094846,1/30/00,0.17,2.7,8,31,24
USW00094846,1/31/00,0,0,8,25,14
USW00094846,2/1/00,0,0,7,31,18
USW00094846,2/2/00,0,0,7,31,11
USW00094846,2/3/00,0,0,6,37,29
USW00094846,2/4/00,0,0.1,5,31,18
USW00094846,2/5/00,0,0,5,27,15
USW00094846,2/6/00,0,0,5,33,13
USW00094846,2/7/00,0,0,5,37,14
USW00094846,2/8/00,0,0,5,33,10
USW00094846,2/9/00,0,0,5,48,33
USW00094846,2/10/00,0,0,2,41,29
USW00094846,2/11/00,0,0,0,29,18
USW00094846,2/12/00,0,0,0,35,13
USW00094846,2/13/00,0.04,0.4,0,31,29
USW00094846,2/14/00,0,0,1,33,19
USW00094846,2/15/00,0,0,0,43,19
USW00094846,2/16/00,0,0,0,37,19
USW00094846,2/17/00,0,0,0,35,18
USW00094846,2/18/00,1.13,11.1,1,32,28
USW00094846,2/19/00,0,0,11,33,25
USW00094846,2/20/00,0,0,7,31,22
USW00094846,2/21/00,0,0,6,47,22
USW00094846,2/22/00,0,0,0,59,39
USW00094846,2/23/00,0,0,0,66,51
USW00094846,2/24/00,0.75,0,0,57,41
USW00094846,2/25/00,0,0,0,72,38
USW00094846,2/26/00,0.05,0,0,64,48
USW00094846,2/27/00,0,0,0,52,38
USW00094846,2/28/00,0,0,0,55,30
USW00094846,2/29/00,0,0,0,64,44
USW00094846,3/1/00,0.05,0,0,56,36
