"STATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDMV"
"USC00111497","1995-01-01","0.11","1.5","3.0","36","21","24",
"USC00111497","1995-01-02","0.00","0.0","1.0","24","7","12",
"USC00111497","1995-01-03","0.00","0.0","1.0","25","10","11",
"USC00111497","1995-01-04","0.00","0.0","1.0","18","-1","1",
"USC00111497","1995-01-05","0.00","0.0","1.0","6","-1","3",
"USC00111497","1995-01-06","0.03","0.3","1.0","24","3","24",
"USC00111497","1995-01-07","0.01","2.0","3.0","26","19","20",
"USC00111497","1995-01-08","0.00","0.0","3.0","28","6","9",
"USC00111497","1995-01-09","0.00","0.0","2.0","20","8","15",
"USC00111497","1995-01-10","0.17","1.8","4.0","23","14","22",
"USC00111497","1995-01-11","0.00","0.0","4.0","34","22","34",
"USC00111497","1995-01-12","0.00","0.0","1.0","47","33","46",
"USC00111497","1995-01-13","0.02","0.0","0.0","48","32","33",
"USC00111497","1995-01-14","1.94","0.0","0.0","37","32","36",
"USC00111497","1995-01-15","0.14","0.0","0.0","39","32","33",
"USC00111497","1995-01-16","0.00","0.0","0.0","34","30","34",
"USC00111497","1995-01-17","0.00","0.0","0.0","36","30","32",
"USC00111497","1995-01-18","0.00","0.0","0.0","43","27","30",
"USC00111497","1995-01-19","0.18","0.8","1.0","39","29","35",
"USC00111497","1995-01-20","0.90","0.0","0.0","37","29","30",
"USC00111497","1995-01-21","0.01","0.5","1.0","30","23","29",
"USC00111497","1995-01-22","0.12","2.0","3.0","26","19","22",
"USC00111497","1995-01-23","0.11","1.5","4.0","24","15","17",
"USC00111497","1995-01-24","0.00","0.0","3.0","26","8","10",
"USC00111497","1995-01-25","0.00","0.0","3.0","26","9","15",
"USC00111497","1995-01-26","0.00","0.0","2.0","32","8","14",
"USC00111497","1995-01-27","0.00","0.0","2.0","34","10","20",
"USC00111497","1995-01-28","0.01","0.0","2.0","37","20","30",
"USC00111497","1995-01-29","0.00","0.0","2.0","31","23","26",
"USC00111497","1995-01-30","0.00","0.0","1.0","31","17","19",
"USC00111497","1995-01-31","0.00","0.0","1.0","37","18","26",
