DATE,lake_temp
2013-04-01,2.26
2013-04-02,2.29
2013-04-03,2.36
2013-04-04,2.46
2013-04-05,2.5
2013-04-06,2.5
2013-04-07,2.53
2013-04-08,2.53
2013-04-09,2.53
2013-04-10,2.59
2013-04-11,2.66
2013-04-12,2.71
2013-04-13,2.75
2013-04-14,2.79
2013-04-15,2.86
2013-04-16,2.89
2013-04-17,2.89
2013-04-18,2.89
2013-04-19,2.9
2013-04-20,2.84
2013-04-21,2.88
2013-04-22,3.06
2013-04-23,3.2
2013-04-24,3.26
2013-04-25,3.36
2013-04-26,3.59
2013-04-27,3.88
2013-04-28,4.08
2013-04-29,4.45
2013-04-30,5.07
2013-05-01,5.47
2013-05-02,5.47
2013-05-03,5.43
2013-05-04,5.42
2013-05-05,5.51
2013-05-06,5.63
2013-05-07,5.87
2013-05-08,6.21
2013-05-09,6.18
2013-05-10,5.8
2013-05-11,5.4
2013-05-12,5.3
2013-05-13,5.53
2013-05-14,5.91
2013-05-15,6.26
2013-05-16,6.52
2013-05-17,6.61
2013-05-18,6.69
2013-05-19,6.81
2013-05-20,7.01
2013-05-21,7.28
2013-05-22,7.04
2013-05-23,6.62
2013-05-24,6.46
2013-05-25,6.57
2013-05-26,6.75
2013-05-27,7.04
2013-05-28,7.62
2013-05-29,8.56
2013-05-30,9.21
2013-05-31,9.19
2013-06-01,8.87
2013-06-02,8.6
2013-06-03,8.54
2013-06-04,8.77
2013-06-05,9.2
2013-06-06,9.56
2013-06-07,9.77
2013-06-08,9.93
2013-06-09,10.21
2013-06-10,10.71
2013-06-11,11.22
2013-06-12,11.29
2013-06-13,11.19
2013-06-14,11.21
2013-06-15,11.6
2013-06-16,12.15
2013-06-17,12.32
2013-06-18,12.39
2013-06-19,12.64
2013-06-20,12.97
2013-06-21,13.24
2013-06-22,13.63
2013-06-23,14.26
2013-06-24,14.75
2013-06-25,15.31
2013-06-26,15.93
2013-06-27,16.45
2013-06-28,16.66
2013-06-29,16.63
2013-06-30,16.38
2013-07-01,16.29
2013-07-02,16.52
2013-07-03,16.94
2013-07-04,17.18
2013-07-05,17.46
2013-07-06,17.83
2013-07-07,18.42
2013-07-08,19.06
2013-07-09,19.38
2013-07-10,19.37
2013-07-11,19.53
2013-07-12,20.09
2013-07-13,20.65
2013-07-14,21.48
2013-07-15,22.29
2013-07-16,22.82
2013-07-17,23.01
2013-07-18,23.04
2013-07-19,22.72
2013-07-20,22.27
2013-07-21,21.9
2013-07-22,21.58
2013-07-23,21.11
2013-07-24,20.62
2013-07-25,20.36
2013-07-26,20.19
2013-07-27,19.91
2013-07-28,19.59
2013-07-29,19.23
2013-07-30,19.12
2013-07-31,19.19
2013-08-01,19.26
2013-08-02,19.35
2013-08-03,19.4
2013-08-04,19.44
2013-08-05,19.48
2013-08-06,19.61
2013-08-07,19.72
2013-08-08,19.77
2013-08-09,19.82
2013-08-10,19.91
2013-08-11,19.98
2013-08-12,19.91
2013-08-13,19.74
2013-08-14,19.57
2013-08-15,19.6
2013-08-16,19.81
2013-08-17,20.06
2013-08-18,20.27
2013-08-19,20.42
2013-08-20,20.55
2013-08-21,20.69
2013-08-22,20.71
2013-08-23,20.73
2013-08-24,20.88
2013-08-25,21.0
2013-08-26,21.21
2013-08-27,21.52
2013-08-28,21.81
2013-08-29,22.02
2013-08-30,21.86
2013-08-31,21.59
2013-09-01,21.43
2013-09-02,21.15
2013-09-03,20.84
2013-09-04,20.63
2013-09-05,20.54
2013-09-06,20.45
2013-09-07,20.42
2013-09-08,20.35
2013-09-09,20.54
2013-09-10,20.82
2013-09-11,20.67
2013-09-12,20.26
2013-09-13,19.74
2013-09-14,19.36
2013-09-15,19.12
2013-09-16,18.76
2013-09-17,18.56
2013-09-18,18.55
2013-09-19,18.49
2013-09-20,18.29
2013-09-21,18.06
2013-09-22,17.86
2013-09-23,17.78
2013-09-24,17.77
2013-09-25,17.85
2013-09-26,17.91
2013-09-27,17.92
2013-09-28,17.8
2013-09-29,17.69
2013-09-30,17.66
2013-10-01,17.67
2013-10-02,17.71
2013-10-03,17.67
2013-10-04,17.52
2013-10-05,17.3
2013-10-06,17.04
2013-10-07,16.84
2013-10-08,16.8
2013-10-09,16.78
2013-10-10,16.71
2013-10-11,16.59
2013-10-12,16.46
2013-10-13,16.3
2013-10-14,16.19
2013-10-15,16.06
2013-10-16,15.86
2013-10-17,15.57
2013-10-18,15.23
2013-10-19,14.95
2013-10-20,14.65
2013-10-21,14.24
2013-10-22,13.82
2013-10-23,13.31
2013-10-24,12.76
2013-10-25,12.28
2013-10-26,11.99
2013-10-27,11.64
2013-10-28,11.45
2013-10-29,11.35
2013-10-30,11.18
2013-10-31,11.1
2013-11-01,10.94
2013-11-02,10.81
2013-11-03,10.7
2013-11-04,10.45
2013-11-05,10.23
2013-11-06,10.02
2013-11-07,9.83
2013-11-08,9.62
2013-11-09,9.33
2013-11-10,9.01
2013-11-11,8.71
2013-11-12,8.45
2013-11-13,8.32
2013-11-14,8.2
2013-11-15,8.12
2013-11-16,8.08
2013-11-17,7.97
2013-11-18,7.77
2013-11-19,7.58
2013-11-20,7.5
2013-11-21,7.42
2013-11-22,7.33
2013-11-23,7.2
2013-11-24,6.95
2013-11-25,6.81
2013-11-26,6.43
2013-11-27,6.3
2013-11-28,5.96
2013-11-29,5.86
2013-11-30,5.73
2013-12-01,5.75
2013-12-02,5.73
2013-12-03,5.66
2013-12-04,5.59
2013-12-05,5.46
2013-12-06,5.34
2013-12-07,5.21
2013-12-08,5.12
2013-12-09,4.91
2013-12-10,4.65
2013-12-11,4.3
2013-12-12,4.25
2013-12-13,4.04
2013-12-14,3.92
2013-12-15,3.96
2013-12-16,3.79
2013-12-17,3.7
2013-12-18,3.61
2013-12-19,3.54
2013-12-20,3.49
2013-12-21,3.46
2013-12-22,3.43
2013-12-23,3.39
2013-12-24,3.38
2013-12-25,3.24
2013-12-26,3.24
2013-12-27,3.24
2013-12-28,3.34
2013-12-29,3.34
2013-12-30,3.34
2013-12-31,3.24
2014-01-01,3.15
2014-01-02,2.91
2014-01-03,2.69
2014-01-04,2.88
2014-01-05,2.82
2014-01-06,2.63
2014-01-07,2.45
2014-01-08,1.99
2014-01-09,1.89
2014-01-10,1.86
2014-01-11,1.94
2014-01-12,1.96
2014-01-13,2.06
2014-01-14,2.12
2014-01-15,2.05
2014-01-16,2.09
2014-01-17,2.07
2014-01-18,1.91
2014-01-19,1.86
2014-01-20,1.81
2014-01-21,1.73
2014-01-22,1.63
2014-01-23,1.49
2014-01-24,1.28
2014-01-25,1.37
2014-01-26,1.4
2014-01-27,1.35
2014-01-28,1.03
2014-01-29,0.85
2014-01-30,0.85
2014-01-31,0.91
2014-02-01,0.85
2014-02-02,0.78
2014-02-03,0.73
2014-02-04,0.68
2014-02-05,0.66
2014-02-06,0.68
2014-02-07,0.48
2014-02-08,0.5
2014-02-09,0.45
2014-02-10,0.48
2014-02-11,0.34
2014-02-12,0.3
2014-02-13,0.3
2014-02-14,0.37
