DATE,lake_temp
2015-01-01,3.53
2015-01-02,3.5
2015-01-03,3.49
2015-01-04,3.36
2015-01-05,3.16
2015-01-06,3.03
2015-01-07,2.85
2015-01-08,2.49
2015-01-09,2.48
2015-01-10,2.37
2015-01-11,2.23
2015-01-12,2.1
2015-01-13,2.09
2015-01-14,2.06
2015-01-15,2.05
2015-01-16,2.15
2015-01-17,2.1
2015-01-18,2.06
2015-01-19,1.96
2015-01-20,2.01
2015-01-21,1.97
2015-01-22,1.93
2015-01-23,1.99
2015-01-24,1.99
2015-01-25,1.9
2015-01-26,1.81
2015-01-27,1.83
2015-01-28,1.72
2015-01-29,1.76
2015-01-30,1.73
2015-01-31,1.09
2015-02-01,1.65
2015-02-02,1.6
2015-02-03,1.54
2015-02-04,1.5
2015-02-05,1.38
2015-02-06,1.46
2015-02-07,1.41
2015-02-08,1.4
2015-02-09,1.38
2015-02-10,1.27
2015-02-11,1.19
2015-02-12,1.18
2015-02-13,1.16
2015-02-14,1.14
2015-02-15,0.93
2015-02-16,0.89
2015-02-17,0.82
2015-02-18,0.7
2015-02-19,0.71
2015-02-20,0.59
2015-02-21,0.56
2015-02-22,0.54
2015-02-23,0.27
2015-02-24,0.52
2015-02-25,0.48
2015-02-26,0.52
2015-02-27,0.49
2015-02-28,0.42
2015-03-01,0.4
2015-03-02,0.46
2015-03-03,0.5
2015-03-04,0.44
2015-03-05,0.51
2015-03-06,0.48
2015-03-07,0.47
2015-03-08,0.45
2015-03-09,0.2
2015-03-10,0.96
2015-03-11,1.02
2015-03-12,0.98
2015-03-13,1.03
2015-03-14,1.07
2015-03-15,1.05
2015-03-16,1.1
2015-03-17,1.13
2015-03-18,1.11
2015-03-19,1.1
2015-03-20,1.12
2015-03-21,0.2
2015-03-22,0.2
2015-03-23,1.15
2015-03-24,1.13
2015-03-25,1.16
2015-03-26,1.2
2015-03-27,1.13
2015-03-28,1.12
2015-03-29,1.27
2015-03-30,1.47
2015-03-31,1.49
2015-04-01,1.55
2015-04-02,1.59
2015-04-03,1.57
2015-04-04,1.62
2015-04-05,1.66
2015-04-06,1.8
2015-04-07,1.91
2015-04-08,1.99
2015-04-09,2.01
2015-04-10,2.0
2015-04-11,2.06
2015-04-12,2.16
2015-04-13,2.31
2015-04-14,2.39
2015-04-15,2.53
2015-04-16,2.8
2015-04-17,3.06
2015-04-18,3.11
2015-04-19,3.06
2015-04-20,3.0
2015-04-21,2.9
2015-04-22,2.9
2015-04-23,2.86
2015-04-24,2.89
2015-04-25,2.99
2015-04-26,3.06
2015-04-27,3.16
2015-04-28,3.27
2015-04-29,3.38
2015-04-30,3.57
2015-05-01,3.83
2015-05-02,4.03
2015-05-03,4.16
2015-05-04,4.18
2015-05-05,4.33
2015-05-06,4.78
2015-05-07,5.37
2015-05-08,5.43
2015-05-09,5.34
2015-05-10,5.18
2015-05-11,5.07
2015-05-12,4.94
2015-05-13,4.85
2015-05-14,4.99
2015-05-15,5.45
2015-05-16,5.99
2015-05-17,6.33
2015-05-18,6.38
2015-05-19,6.06
2015-05-20,5.72
2015-05-21,5.68
2015-05-22,5.78
2015-05-23,6.03
2015-05-24,6.21
2015-05-25,6.45
2015-05-26,6.83
2015-05-27,7.33
2015-05-28,7.69
2015-05-29,7.56
2015-05-30,7.17
2015-05-31,6.95
2015-06-01,6.99
2015-06-02,7.1
2015-06-03,7.27
2015-06-04,7.56
2015-06-05,7.76
2015-06-06,7.84
2015-06-07,8.23
2015-06-08,8.87
2015-06-09,9.42
2015-06-10,9.85
2015-06-11,9.89
2015-06-12,10.0
2015-06-13,10.13
2015-06-14,10.35
2015-06-15,10.38
2015-06-16,10.35
2015-06-17,10.54
2015-06-18,10.77
2015-06-19,10.9
2015-06-20,11.23
2015-06-21,11.75
2015-06-22,12.06
2015-06-23,12.14
2015-06-24,12.29
2015-06-25,12.51
2015-06-26,12.61
2015-06-27,12.79
2015-06-28,12.78
2015-06-29,14.47
2015-06-30,14.44
2015-07-01,14.17
2015-07-02,14.12
2015-07-03,14.54
2015-07-04,15.11
2015-07-05,15.48
2015-07-06,15.5
2015-07-07,15.27
2015-07-08,15.45
2015-07-09,15.88
2015-07-10,16.22
2015-07-11,16.81
2015-07-12,17.75
2015-07-13,17.81
2015-07-14,17.18
2015-07-15,16.81
2015-07-16,17.16
2015-07-17,17.9
2015-07-18,18.28
2015-07-19,18.26
2015-07-20,18.23
2015-07-21,18.3
2015-07-22,18.78
2015-07-23,19.31
2015-07-24,19.66
2015-07-25,20.0
2015-07-26,20.51
2015-07-27,20.99
2015-07-28,21.11
2015-07-29,21.01
2015-07-30,20.88
2015-07-31,20.85
2015-08-01,20.86
2015-08-02,20.8
2015-08-03,20.6
2015-08-04,20.53
2015-08-05,20.58
2015-08-06,20.71
2015-08-07,20.81
2015-08-08,20.9
2015-08-09,21.01
2015-08-10,21.12
2015-08-11,21.08
2015-08-12,21.1
2015-08-13,21.37
2015-08-14,21.75
2015-08-15,21.94
2015-08-16,22.05
2015-08-17,21.99
2015-08-18,21.66
2015-08-19,21.13
2015-08-20,20.54
2015-08-21,20.06
2015-08-22,19.77
2015-08-23,19.51
2015-08-24,19.16
2015-08-25,18.78
2015-08-26,18.29
2015-08-27,18.08
2015-08-28,18.19
2015-08-29,18.56
2015-08-30,18.89
2015-08-31,19.17
2015-09-01,19.47
2015-09-02,19.7
2015-09-03,19.8
2015-09-04,19.9
2015-09-05,20.12
2015-09-06,20.36
2015-09-07,20.33
2015-09-08,20.1
2015-09-09,19.99
2015-09-10,19.72
2015-09-11,19.3
2015-09-12,18.99
2015-09-13,18.87
2015-09-14,18.8
2015-09-15,18.83
2015-09-16,18.85
2015-09-17,18.77
2015-09-18,18.61
2015-09-19,18.36
2015-09-20,18.27
2015-09-21,18.27
2015-09-22,18.28
2015-09-23,18.38
2015-09-24,18.46
2015-09-25,18.52
2015-09-26,18.55
2015-09-27,18.49
2015-09-28,18.32
2015-09-29,18.02
2015-09-30,17.62
2015-10-01,17.23
2015-10-02,16.91
2015-10-03,16.69
2015-10-04,16.28
2015-10-05,15.78
2015-10-06,15.48
2015-10-07,15.33
2015-10-08,15.16
2015-10-09,14.97
2015-10-10,14.9
2015-10-11,15.0
2015-10-12,14.89
2015-10-13,14.51
2015-10-14,14.25
2015-10-15,14.05
2015-10-16,13.75
2015-10-17,13.37
2015-10-18,13.11
2015-10-19,13.02
2015-10-20,13.01
2015-10-21,12.99
2015-10-22,12.94
2015-10-23,12.83
2015-10-24,12.67
2015-10-25,12.55
2015-10-26,12.47
2015-10-27,12.39
2015-10-28,12.22
2015-10-29,11.94
2015-10-30,11.72
2015-10-31,11.58
2015-11-01,11.5
2015-11-02,11.54
2015-11-03,11.66
2015-11-04,11.64
2015-11-05,11.46
2015-11-06,11.18
2015-11-07,10.98
2015-11-08,10.94
2015-11-09,10.85
2015-11-10,10.74
2015-11-11,10.63
2015-11-12,10.4
2015-11-13,10.01
2015-11-14,9.76
2015-11-15,9.78
2015-11-16,9.78
2015-11-17,9.66
2015-11-18,9.47
2015-11-19,9.25
2015-11-20,9.03
2015-11-21,8.79
2015-11-22,8.54
2015-11-23,8.37
2015-11-24,8.25
2015-11-25,8.13
2015-11-26,7.98
2015-11-27,7.88
2015-11-28,7.81
2015-11-29,7.76
2015-11-30,7.73
2015-12-01,7.69
2015-12-02,7.65
2015-12-03,7.64
2015-12-04,7.66
2015-12-05,7.64
2015-12-06,7.56
2015-12-07,7.49
2015-12-08,7.45
2015-12-09,7.37
2015-12-10,7.31
2015-12-11,7.27
2015-12-12,7.26
2015-12-13,7.24
2015-12-14,7.17
2015-12-15,6.95
2015-12-16,6.79
2015-12-17,6.63
2015-12-18,6.53
2015-12-19,6.46
2015-12-20,6.43
2015-12-21,6.4
2015-12-22,6.36
2015-12-23,6.32
2015-12-24,6.18
2015-12-25,6.08
2015-12-26,5.89
2015-12-27,5.73
2015-12-28,5.58
2015-12-29,5.44
2015-12-30,5.29
2015-12-31,5.22
2016-01-01,5.18
2016-01-02,5.15
2016-01-03,5.1
2016-01-04,4.97
2016-01-05,4.85
2016-01-06,4.8
2016-01-07,4.8
2016-01-08,4.81
2016-01-09,4.78
2016-01-10,4.71
2016-01-11,4.43
2016-01-12,4.33
2016-01-13,4.07
2016-01-14,3.97
2016-01-15,3.98
2016-01-16,3.78
2016-01-17,3.49
2016-01-18,3.36
2016-01-19,3.29
2016-01-20,3.09
2016-01-21,3.03
2016-01-22,2.99
2016-01-23,2.95
2016-01-24,2.93
2016-01-25,3.06
2016-01-26,3.02
2016-01-27,2.99
2016-01-28,3.0
2016-01-29,2.99
2016-01-30,2.99
2016-01-31,2.99
2016-02-01,3.02
2016-02-02,2.96
2016-02-03,2.91
2016-02-04,2.81
2016-02-05,2.79
2016-02-06,2.81
2016-02-07,2.84
2016-02-08,2.8
2016-02-09,2.71
2016-02-10,2.66
2016-02-11,2.55
2016-02-12,2.48
2016-02-13,2.33
2016-02-14,2.23
2016-02-15,2.35
2016-02-16,2.35
2016-02-17,2.36
2016-02-18,2.4
2016-02-19,2.66
2016-02-20,2.65
2016-02-21,2.68
2016-02-22,2.62
2016-02-23,2.58
2016-02-24,2.49
2016-02-25,2.48
2016-02-26,2.4
2016-02-27,2.45
2016-02-28,2.52
2016-02-29,2.46
2016-03-01,2.39
2016-03-02,2.21
2016-03-03,2.23
2016-03-04,2.31
2016-03-05,2.47
2016-03-06,2.8
2016-03-07,3.03
2016-03-08,3.09
2016-03-09,3.04
2016-03-10,2.92
2016-03-11,2.92
2016-03-12,3.0
2016-03-13,2.99
2016-03-14,2.97
2016-03-15,2.95
2016-03-16,2.93
2016-03-17,2.97
2016-03-18,2.94
2016-03-19,2.97
2016-03-20,2.99
2016-03-21,3.01
2016-03-22,3.09
2016-03-23,3.15
2016-03-24,3.19
2016-03-25,3.21
2016-03-26,3.23
2016-03-27,3.28
2016-03-28,3.32
2016-03-29,3.36
2016-03-30,3.38
2016-03-31,3.4
2016-04-01,3.42
2016-04-02,3.42
2016-04-03,3.41
2016-04-04,3.31
2016-04-05,3.27
2016-04-06,3.36
2016-04-07,3.4
2016-04-08,3.43
2016-04-09,3.47
2016-04-10,3.55
2016-04-11,3.58
2016-04-12,3.61
2016-04-13,3.75
2016-04-14,3.93
2016-04-15,4.21
2016-04-16,4.51
