DATE,garden_prcp,garden_maxtmp,garden_mintmp,garden_tobs,lake_temp,ohare_wspd,ohare_prcp,ohare_snfall,ohare_sndpth,ohare_atmp,ohare_maxtmp,ohare_mintmp,ohare_w2dir,ohare_w2spd
2013-04-01,0.0,58.0,27.0,31.0,2.26,11.63,0.0,0.0,0.0,36.0,41,29,310,21.9
2013-04-02,0.0,41.0,25.0,28.0,2.29,8.95,0.0,0.0,0.0,34.0,45,25,320,21.0
2013-04-03,0.0,46.0,21.0,30.0,2.36,6.93,0.0,0.0,0.0,35.0,44,25,60,14.1
2013-04-04,0.0,41.0,25.0,33.0,2.46,8.05,0.0,0.0,0.0,39.0,58,25,240,16.1
2013-04-05,0.0,60.0,33.0,38.0,2.5,11.86,0.0,0.0,0.0,44.0,45,36,20,21.0
2013-04-06,0.0,45.0,34.0,43.0,2.5,18.57,0.04,0.0,0.0,47.0,70,36,180,36.9
2013-04-07,0.15,69.0,42.0,45.0,2.53,11.41,0.0,0.0,0.0,53.0,59,40,270,25.1
2013-04-08,0.51,56.0,36.0,46.0,2.53,13.87,0.49,0.0,0.0,50.0,64,41,260,33.1
2013-04-09,0.06,63.0,37.0,39.0,2.53,11.86,0.2,0.0,0.0,44.0,55,39,20,23.0
2013-04-10,0.21,49.0,37.0,39.0,2.59,16.11,0.94,0.0,0.0,40.0,41,38,290,33.1
2013-04-11,0.84,41.0,37.0,39.0,2.66,9.4,0.24,0.0,0.0,41.0,46,38,70,25.9
2013-04-12,0.23,43.0,36.0,38.0,2.71,13.42,0.0,0.0,0.0,41.0,45,37,260,23.9
2013-04-13,0.02,44.0,34.0,36.0,2.75,12.53,0.0,0.0,0.0,39.0,45,34,270,23.9
2013-04-14,0.01,47.0,33.0,40.0,2.79,14.99,0.0,0.0,0.0,45.0,69,38,190,30.0
2013-04-15,0.02,65.0,39.0,58.0,2.86,13.42,0.36,0.0,0.0,61.0,66,44,200,32.0
2013-04-16,0.44,69.0,38.0,42.0,2.89,7.61,0.01,0.0,0.0,47.0,58,40,110,15.0
2013-04-17,0.0,52.0,39.0,42.0,2.89,10.96,2.01,0.0,0.0,43.0,49,42,70,25.9
2013-04-18,2.72,48.0,40.0,46.0,2.89,15.43,3.54,0.0,0.0,52.0,63,39,170,33.1
2013-04-19,0.22,64.0,37.0,39.0,2.9,19.46,0.01,0.1,0.0,41.0,40,33,250,32.0
2013-04-20,0.0,42.0,29.0,33.0,2.84,9.4,0.0,0.0,0.0,37.0,47,31,310,19.9
2013-04-21,,47.0,33.0,40.0,2.88,11.41,0.0,0.0,0.0,40.0,54,29,150,19.9
2013-04-22,0.0,52.0,39.0,49.0,3.06,9.62,0.0,0.0,0.0,51.0,67,38,130,18.1
2013-04-23,0.01,66.0,47.0,57.0,3.2,9.62,0.7,0.0,0.0,53.0,59,38,340,18.1
2013-04-24,0.78,60.0,36.0,38.0,3.26,12.3,0.04,0.0,0.0,41.0,50,37,280,18.1
