DATE,target,garden_didrain,ohare_didrain,tmpdiff,garden_prcp,garden_snfall,garden_sndpth,garden_maxtmp,garden_mintmp,garden_medtmp,garden_tobs,lake_temp,ohare_wspd,ohare_prcp,ohare_snfall,ohare_sndpth,ohare_maxtmp,ohare_mintmp,ohare_medtmp
1995-01-01,0.09,1,1,9.5,0.11,1.5,3.0,36.0,21.0,28.5,24.0,5.02,16.11,0.02,0.2,1.0,27,11,19.0
1995-01-06,0.22,1,1,9.0,0.03,0.3,1.0,24.0,3.0,13.5,24.0,0.2,10.51,0.25,3.3,1.0,27,18,22.5
1995-01-13,0.82,1,1,4.5,0.02,0.0,0.0,48.0,32.0,40.0,33.0,3.63,9.4,0.84,0.0,0.0,38,33,35.5
1995-01-14,1.14,1,1,2.5,1.94,0.0,0.0,37.0,32.0,34.5,36.0,3.52,17.0,0.8,0.0,0.0,39,35,37.0
1995-01-19,0.6300000000000001,1,1,0.0,0.18,0.8,1.0,39.0,29.0,34.0,35.0,3.03,19.01,0.81,2.4,1.0,36,32,34.0
1995-01-21,0.05,1,1,3.0,0.01,0.5,1.0,30.0,23.0,26.5,29.0,2.84,16.33,0.06,1.0,0.0,26,21,23.5
1995-01-22,0.11,1,1,3.5,0.12,2.0,3.0,26.0,19.0,22.5,22.0,2.75,13.2,0.23,3.5,3.0,22,16,19.0
1995-02-15,0.01,1,1,7.0,0.01,0.0,0.0,34.0,11.0,22.5,34.0,1.43,14.99,0.02,0.0,0.0,36,23,29.5
1995-02-20,0.0,1,1,4.5,0.01,0.0,0.0,42.0,30.0,36.0,35.0,1.4,13.87,0.01,0.0,0.0,50,31,40.5
1995-02-27,0.30000000000000004,1,1,2.0,0.4,0.0,0.0,33.0,27.0,30.0,32.0,1.68,10.74,0.1,0.0,0.0,33,31,32.0
1995-03-05,0.06999999999999999,1,1,0.5,0.08,1.8,2.0,40.0,30.0,35.0,33.0,1.18,8.5,0.15,2.0,1.0,38,31,34.5
1995-03-07,0.29000000000000004,1,1,2.0,0.1,0.0,0.0,35.0,30.0,32.5,30.0,1.06,13.42,0.39,1.5,0.0,35,26,30.5
1995-03-19,0.01,1,1,2.5,0.01,0.0,0.0,54.0,41.0,47.5,56.0,1.25,9.17,0.02,0.0,0.0,55,45,50.0
1995-03-20,0.2,1,1,1.5,0.01,0.0,0.0,59.0,38.0,48.5,58.0,1.34,19.69,0.21,0.0,0.0,60,40,50.0
1995-03-23,0.03,1,1,6.5,0.06,0.0,0.0,45.0,34.0,39.5,35.0,1.7,14.09,0.03,0.0,0.0,41,25,33.0
1995-03-27,0.30999999999999994,1,1,1.0,0.17,0.0,0.0,47.0,38.0,42.5,39.0,1.85,12.08,0.48,0.0,0.0,45,38,41.5
1995-03-28,0.41,1,1,3.0,0.5,0.0,0.0,40.0,36.0,38.0,40.0,1.81,5.14,0.09,0.0,0.0,44,38,41.0
1995-04-03,0.08,1,1,9.5,0.01,0.0,0.0,54.0,34.0,44.0,51.0,1.8,14.99,0.09,0.0,0.0,63,44,53.5
1995-04-09,0.14000000000000012,1,1,0.5,0.95,0.0,0.0,42.0,31.0,36.5,31.0,2.08,21.92,1.09,0.0,0.0,42,32,37.0
1995-04-10,0.15000000000000002,1,1,0.5,0.66,0.0,0.0,41.0,31.0,36.0,33.0,2.12,17.67,0.51,0.0,0.0,41,32,36.5
1995-04-11,0.69,1,1,12.0,0.02,0.0,0.0,43.0,32.0,37.5,42.0,2.15,12.53,0.71,0.0,0.0,61,38,49.5
1995-04-12,0.4400000000000001,1,1,9.5,0.54,0.0,0.0,62.0,36.0,49.0,37.0,2.21,17.9,0.1,0.1,0.0,44,35,39.5
1995-04-17,0.03,1,1,2.5,0.22,0.0,0.0,58.0,38.0,48.0,43.0,2.32,10.07,0.19,0.0,0.0,60,41,50.5
1995-04-18,0.04999999999999993,1,1,15.5,0.54,0.0,0.0,51.0,41.0,46.0,43.0,2.36,21.03,0.59,0.0,0.0,76,47,61.5
1995-04-21,0.030000000000000006,1,1,3.5,0.07,0.0,0.0,47.0,40.0,43.5,41.0,2.42,11.41,0.04,0.0,0.0,52,42,47.0
1995-04-25,0.07,1,1,3.0,0.08,0.0,0.0,64.0,37.0,50.5,42.0,2.64,9.62,0.01,0.0,0.0,58,37,47.5
1995-04-26,1.59,1,1,0.5,0.17,0.0,0.0,58.0,41.0,49.5,48.0,2.81,5.59,1.76,0.0,0.0,53,47,50.0
1995-04-27,2.12,1,1,1.0,2.58,0.0,0.0,50.0,44.0,47.0,46.0,2.93,13.2,0.46,0.0,0.0,52,44,48.0
1995-04-29,0.01,1,1,4.5,0.01,0.0,0.0,64.0,44.0,54.0,50.0,3.29,7.83,0.02,0.0,0.0,56,43,49.5
1995-04-30,0.06,1,1,1.0,0.15,0.0,0.0,50.0,41.0,45.5,45.0,3.36,12.3,0.09,0.0,0.0,50,39,44.5
1995-05-05,0.02,1,1,8.5,0.03,0.0,0.0,55.0,40.0,47.5,46.0,4.15,7.38,0.01,0.0,0.0,72,40,56.0
1995-05-08,0.33,1,1,4.0,0.07,0.0,0.0,73.0,50.0,61.5,51.0,4.05,16.55,0.4,0.0,0.0,66,49,57.5
1995-05-13,0.06,1,1,3.0,0.02,0.0,0.0,74.0,55.0,64.5,57.0,5.02,15.21,0.08,0.0,0.0,66,57,61.5
1995-05-18,0.21,1,1,1.0,0.01,0.0,0.0,55.0,47.0,51.0,50.0,5.41,10.96,0.22,0.0,0.0,58,46,52.0
1995-05-23,0.4,1,1,7.5,0.83,0.0,0.0,77.0,58.0,67.5,61.0,6.31,10.07,1.23,0.0,0.0,69,51,60.0
1995-05-24,0.5700000000000001,1,1,5.5,0.79,0.0,0.0,68.0,48.0,58.0,51.0,6.28,9.4,0.22,0.0,0.0,57,48,52.5
