target,garden_didrain,ohare_didrain,tmpdiff,garden_prcp,garden_snfall,garden_sndpth,garden_maxtmp,garden_mintmp,garden_medtmp,garden_tobs,lake_temp,ohare_wspd,ohare_prcp,ohare_snfall,ohare_sndpth,ohare_maxtmp,ohare_mintmp,ohare_medtmp
0.0,0,0,1.0,0.0,0.0,1.0,24.0,7.0,15.5,12.0,4.95,14.09,0.0,0.0,1.0,21,8,14.5
0.0,0,0,7.0,0.0,0.0,1.0,25.0,10.0,17.5,11.0,0.2,12.53,0.0,0.0,1.0,18,3,10.5
0.0,0,0,5.5,0.0,0.0,1.0,18.0,-1.0,8.5,1.0,0.2,12.3,0.0,0.0,1.0,7,-1,3.0
0.0,0,0,6.5,0.0,0.0,1.0,6.0,-1.0,2.5,3.0,0.2,16.33,0.0,0.0,0.0,19,-1,9.0
0.0,0,0,5.5,0.0,0.0,3.0,28.0,6.0,17.0,9.0,0.2,8.5,0.0,0.0,3.0,19,4,11.5
0.0,0,0,2.0,0.0,0.0,1.0,47.0,33.0,40.0,46.0,3.74,8.05,0.0,0.0,3.0,47,37,42.0
0.0,0,0,1.5,0.0,0.0,0.0,34.0,30.0,32.0,34.0,3.32,10.74,0.0,0.0,0.0,36,31,33.5
0.0,0,0,3.5,0.0,0.0,0.0,36.0,30.0,33.0,32.0,3.23,13.87,0.0,0.0,0.0,43,30,36.5
0.0,0,0,1.0,0.0,0.0,0.0,43.0,27.0,35.0,30.0,3.14,8.5,0.0,0.0,0.0,43,29,36.0
0.0,0,0,2.0,0.0,0.0,3.0,26.0,8.0,17.0,10.0,2.63,6.93,0.0,0.0,2.0,25,5,15.0
0.0,0,0,1.5,0.0,0.0,3.0,26.0,9.0,17.5,15.0,2.59,4.7,0.0,0.0,2.0,32,6,19.0
0.0,0,0,1.5,0.0,0.0,2.0,32.0,8.0,20.0,14.0,2.47,4.47,0.0,0.0,2.0,30,7,18.5
0.0,0,0,2.5,0.0,0.0,2.0,31.0,23.0,27.0,26.0,2.25,10.29,0.0,0.0,2.0,29,20,24.5
0.0,0,0,1.0,0.0,0.0,1.0,31.0,17.0,24.0,19.0,2.2,10.74,0.0,0.0,2.0,34,12,23.0
0.0,0,0,3.0,0.0,0.0,1.0,37.0,18.0,27.5,26.0,2.12,17.0,0.0,0.0,2.0,39,22,30.5
0.0,0,0,3.5,0.0,0.0,1.0,41.0,26.0,33.5,34.0,2.07,8.28,0.0,0.0,1.0,42,32,37.0
0.0,0,0,3.5,0.0,0.0,0.0,42.0,31.0,36.5,32.0,2.02,8.05,0.0,0.0,0.0,35,31,33.0
0.0,0,0,9.0,0.0,0.0,0.0,28.0,7.0,17.5,2.0,1.93,14.99,0.0,0.0,0.0,14,3,8.5
0.0,0,0,3.0,0.0,0.0,0.0,14.0,2.0,8.0,5.0,1.91,10.29,0.0,0.0,0.0,19,3,11.0
0.0,0,0,3.0,0.0,0.0,0.0,19.0,4.0,11.5,15.0,1.83,12.3,0.0,0.0,0.0,20,9,14.5
0.0,0,0,0.5,0.0,0.0,0.0,20.0,5.0,12.5,7.0,1.78,14.09,0.0,0.0,0.0,19,5,12.0
0.0,0,0,8.5,0.0,0.0,0.0,25.0,6.0,15.5,24.0,1.71,12.97,0.0,0.0,0.0,35,13,24.0
0.0,0,0,4.5,0.0,0.0,0.0,37.0,24.0,30.5,33.0,1.66,18.79,0.0,0.0,0.0,38,14,26.0
0.0,0,0,15.0,0.0,0.0,0.0,39.0,4.0,21.5,5.0,1.57,16.11,0.0,0.0,0.0,14,-1,6.5
0.0,0,0,2.0,0.0,0.0,0.0,12.0,-2.0,5.0,0.0,1.53,11.86,0.0,0.0,0.0,16,-2,7.0
0.0,0,0,4.0,0.0,0.0,0.0,17.0,9.0,13.0,14.0,1.5,11.41,0.0,0.0,0.0,23,11,17.0
