target,garden_didrain,ohare_didrain,tmpdiff,garden_prcp,garden_snfall,garden_sndpth,garden_maxtmp,garden_mintmp,garden_medtmp,garden_tobs,lake_temp,ohare_wspd,ohare_prcp,ohare_snfall,ohare_sndpth,ohare_maxtmp,ohare_mintmp,ohare_medtmp
0.09,1,1,9.5,0.11,1.5,3.0,36.0,21.0,28.5,24.0,5.02,16.11,0.02,0.2,1.0,27,11,19.0
0.0,0,0,1.0,0.0,0.0,1.0,24.0,7.0,15.5,12.0,4.95,14.09,0.0,0.0,1.0,21,8,14.5
0.0,0,0,7.0,0.0,0.0,1.0,25.0,10.0,17.5,11.0,0.2,12.53,0.0,0.0,1.0,18,3,10.5
0.0,0,0,5.5,0.0,0.0,1.0,18.0,-1.0,8.5,1.0,0.2,12.3,0.0,0.0,1.0,7,-1,3.0
0.0,0,0,6.5,0.0,0.0,1.0,6.0,-1.0,2.5,3.0,0.2,16.33,0.0,0.0,0.0,19,-1,9.0
0.22,1,1,9.0,0.03,0.3,1.0,24.0,3.0,13.5,24.0,0.2,10.51,0.25,3.3,1.0,27,18,22.5
0.01,1,0,3.0,0.01,2.0,3.0,26.0,19.0,22.5,20.0,0.2,12.3,0.0,0.0,3.0,27,12,19.5
0.0,0,0,5.5,0.0,0.0,3.0,28.0,6.0,17.0,9.0,0.2,8.5,0.0,0.0,3.0,19,4,11.5
0.11,0,1,4.5,0.0,0.0,2.0,20.0,8.0,14.0,15.0,4.1,7.38,0.11,1.9,3.0,25,12,18.5
0.17,1,0,4.0,0.17,1.8,4.0,23.0,14.0,18.5,22.0,3.97,7.38,0.0,0.0,4.0,29,16,22.5
0.01,0,1,4.5,0.0,0.0,4.0,34.0,22.0,28.0,34.0,3.86,5.59,0.01,0.0,4.0,40,25,32.5
0.0,0,0,2.0,0.0,0.0,1.0,47.0,33.0,40.0,46.0,3.74,8.05,0.0,0.0,3.0,47,37,42.0
0.82,1,1,4.5,0.02,0.0,0.0,48.0,32.0,40.0,33.0,3.63,9.4,0.84,0.0,0.0,38,33,35.5
1.14,1,1,2.5,1.94,0.0,0.0,37.0,32.0,34.5,36.0,3.52,17.0,0.8,0.0,0.0,39,35,37.0
0.14,1,0,2.5,0.14,0.0,0.0,39.0,32.0,35.5,33.0,3.41,12.53,0.0,0.0,0.0,36,30,33.0
0.0,0,0,1.5,0.0,0.0,0.0,34.0,30.0,32.0,34.0,3.32,10.74,0.0,0.0,0.0,36,31,33.5
0.0,0,0,3.5,0.0,0.0,0.0,36.0,30.0,33.0,32.0,3.23,13.87,0.0,0.0,0.0,43,30,36.5
0.0,0,0,1.0,0.0,0.0,0.0,43.0,27.0,35.0,30.0,3.14,8.5,0.0,0.0,0.0,43,29,36.0
0.6300000000000001,1,1,0.0,0.18,0.8,1.0,39.0,29.0,34.0,35.0,3.03,19.01,0.81,2.4,1.0,36,32,34.0
0.9,1,0,3.5,0.9,0.0,0.0,37.0,29.0,33.0,30.0,2.93,17.67,0.0,0.0,0.0,33,26,29.5
0.05,1,1,3.0,0.01,0.5,1.0,30.0,23.0,26.5,29.0,2.84,16.33,0.06,1.0,0.0,26,21,23.5
0.11,1,1,3.5,0.12,2.0,3.0,26.0,19.0,22.5,22.0,2.75,13.2,0.23,3.5,3.0,22,16,19.0
