target,garden_didrain,ohare_didrain,tmpdiff,garden_prcp,garden_snfall,garden_sndpth,garden_maxtmp,garden_mintmp,garden_medtmp,garden_tobs,lake_temp,ohare_wspd,ohare_prcp,ohare_snfall,ohare_sndpth,ohare_maxtmp,ohare_mintmp,ohare_medtmp
0.01,1,0,3.0,0.01,2.0,3.0,26.0,19.0,22.5,20.0,0.2,12.3,0.0,0.0,3.0,27,12,19.5
0.17,1,0,4.0,0.17,1.8,4.0,23.0,14.0,18.5,22.0,3.97,7.38,0.0,0.0,4.0,29,16,22.5
0.14,1,0,2.5,0.14,0.0,0.0,39.0,32.0,35.5,33.0,3.41,12.53,0.0,0.0,0.0,36,30,33.0
0.9,1,0,3.5,0.9,0.0,0.0,37.0,29.0,33.0,30.0,2.93,17.67,0.0,0.0,0.0,33,26,29.5
0.11,1,0,0.5,0.11,1.5,4.0,24.0,15.0,19.5,17.0,2.67,9.4,0.0,0.0,3.0,26,14,20.0
0.01,1,0,0.5,0.01,0.0,2.0,37.0,20.0,28.5,30.0,2.32,17.22,0.0,0.0,2.0,32,24,28.0
0.02,1,0,7.5,0.02,0.5,0.0,34.0,19.0,26.5,21.0,1.96,18.79,0.0,0.0,0.0,26,12,19.0
0.04,1,0,4.5,0.04,0.3,0.0,33.0,29.0,31.0,30.0,1.38,9.84,0.0,0.0,0.0,32,21,26.5
0.08,1,0,2.0,0.08,1.0,1.0,32.0,18.0,25.0,21.0,1.1,12.97,0.0,0.0,1.0,29,17,23.0
0.07,1,0,4.0,0.07,0.0,0.0,59.0,35.0,47.0,39.0,1.44,13.87,0.0,0.0,0.0,51,35,43.0
0.09,1,0,2.0,0.09,0.0,0.0,42.0,34.0,38.0,37.0,1.75,6.93,0.0,0.0,0.0,43,37,40.0
0.01,1,0,4.0,0.01,0.0,0.0,42.0,31.0,36.5,37.0,1.7,8.28,0.0,0.0,0.0,47,34,40.5
0.12,1,0,6.0,0.12,0.0,0.0,44.0,32.0,38.0,35.0,1.76,10.96,0.0,0.0,0.0,55,33,44.0
0.14,1,0,9.5,0.14,0.0,0.0,64.0,20.0,42.0,20.0,1.81,16.33,0.0,0.0,0.0,44,21,32.5
0.15,1,0,1.5,0.15,0.0,0.0,47.0,37.0,42.0,40.0,2.08,13.65,0.0,0.0,0.0,48,39,43.5
0.07,1,0,10.0,0.07,0.0,0.0,43.0,35.0,39.0,41.0,2.24,15.21,0.0,0.0,0.0,59,39,49.0
0.07,1,0,10.5,0.07,0.0,0.0,76.0,42.0,59.0,43.0,2.39,12.08,0.0,0.0,0.0,55,42,48.5
0.08,1,0,8.5,0.08,0.0,0.0,51.0,39.0,45.0,50.0,3.04,8.95,0.0,0.0,0.0,64,43,53.5
0.01,1,0,2.5,0.01,0.0,0.0,48.0,38.0,43.0,44.0,3.48,13.2,0.0,0.0,0.0,53,38,45.5
0.16,1,0,9.0,0.16,0.0,0.0,54.0,46.0,50.0,53.0,4.74,6.71,0.0,0.0,0.0,68,50,59.0
0.06,1,0,1.0,0.06,0.0,0.0,66.0,56.0,61.0,66.0,5.03,15.21,0.0,0.0,0.0,70,54,62.0
0.01,1,0,1.5,0.01,0.0,0.0,70.0,50.0,60.0,59.0,5.04,6.04,0.0,0.0,0.0,76,47,61.5
0.46,1,0,5.5,0.46,0.0,0.0,78.0,50.0,64.0,51.0,5.15,10.96,0.0,0.0,0.0,65,52,58.5
0.14,1,0,7.0,0.14,0.0,0.0,65.0,43.0,54.0,60.0,5.84,9.84,0.0,0.0,0.0,76,46,61.0
0.02,1,0,3.0,0.02,0.0,0.0,75.0,53.0,64.0,54.0,6.64,11.41,0.0,0.0,0.0,68,54,61.0
0.06,1,0,14.5,0.06,0.0,0.0,89.0,47.0,68.0,48.0,11.03,15.21,0.0,0.0,0.0,58,49,53.5
0.1,1,0,9.5,0.1,0.0,0.0,55.0,47.0,51.0,53.0,10.62,7.61,0.0,0.0,0.0,69,52,60.5
0.04,1,0,3.5,0.04,0.0,0.0,81.0,66.0,73.5,74.0,18.93,7.61,0.0,0.0,0.0,87,67,77.0
0.21,1,0,3.0,0.21,0.0,0.0,85.0,66.0,75.5,70.0,16.66,17.45,0.0,0.0,0.0,78,67,72.5
0.12,1,0,0.5,0.12,0.0,0.0,98.0,70.0,84.0,80.0,20.11,10.74,0.0,0.0,0.0,93,74,83.5
1.1,1,0,7.0,1.1,0.0,0.0,74.0,60.0,67.0,67.0,19.57,6.26,0.0,0.0,0.0,85,63,74.0
0.38,1,0,7.5,0.38,0.0,0.0,84.0,63.0,73.5,74.0,21.38,6.26,0.0,0.0,0.0,92,70,81.0
0.18,1,0,0.5,0.18,0.0,0.0,88.0,71.0,79.5,75.0,21.6,10.96,0.0,0.0,0.0,89,71,80.0
0.37,1,0,2.5,0.37,0.0,0.0,86.0,62.0,74.0,71.0,22.33,5.59,0.0,0.0,0.0,87,66,76.5
0.01,1,0,2.5,0.01,0.0,0.0,86.0,68.0,77.0,72.0,22.38,6.71,0.0,0.0,0.0,88,71,79.5
