DATE,hh,buoy_wdir,buoy_wspd,buoy_atmp,lake_temp,ohare_wspd,ohare_prcp,ohare_snfall,ohare_sndpth,ohare_atmp,ohare_maxtmp,ohare_mintmp,ohare_w2dir,ohare_w2spd
2015-01-01,0,235,7.0,-7.4,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,1,253,9.5,-7.4,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,2,210,8.5,-7.4,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,3,249,10.2,-7.3,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,4,246,8.1,-7.0,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,5,247,9.4,-7.1,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,6,234,13.1,-7.5,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,7,231,15.2,-7.7,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,8,272,7.1,-8.0,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,9,207,6.1,-8.2,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,10,241,7.3,-8.5,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,11,259,7.0,-8.5,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,12,255,8.1,-8.6,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,13,245,12.6,-8.7,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,14,241,7.6,-7.9,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,18,254,12.7,-2.4,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,19,217,17.0,-1.2,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,20,227,14.7,-0.6,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,21,222,9.7,-0.8,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,22,228,10.3,-1.3,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-01,23,232,6.5,-1.0,3.53,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-02,0,246,9.7,-1.0,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,1,210,10.0,-1.3,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,2,280,7.6,-1.4,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,3,269,11.6,-1.8,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,4,267,5.7,-2.3,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,5,254,4.5,-2.8,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,6,268,6.5,-3.0,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,7,242,5.5,-3.3,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,8,254,3.5,-3.7,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,9,246,3.1,-3.8,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,10,256,5.1,-4.2,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,11,257,6.5,-4.6,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,12,234,7.6,-4.7,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,13,259,7.2,-4.2,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,14,292,3.8,-3.0,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,15,306,3.0,-1.7,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,17,86,3.2,-1.3,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,18,80,4.0,-1.3,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,19,121,6.3,-0.8,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,20,123,7.0,-0.4,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,21,136,7.8,-0.1,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,22,136,7.8,0.0,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-02,23,148,6.3,0.0,3.5,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-03,0,147,8.2,0.4,3.49,5.59,0.57,0.4,0.0,31.0,34,29,140,13.0
2015-01-03,1,145,5.3,0.1,3.49,5.59,0.57,0.4,0.0,31.0,34,29,140,13.0
2015-01-03,2,141,6.1,0.2,3.49,5.59,0.57,0.4,0.0,31.0,34,29,140,13.0
2015-01-03,3,176,6.2,0.1,3.49,5.59,0.57,0.4,0.0,31.0,34,29,140,13.0
2015-01-03,4,150,5.9,0.1,3.49,5.59,0.57,0.4,0.0,31.0,34,29,140,13.0
2015-01-03,5,143,12.1,0.1,3.49,5.59,0.57,0.4,0.0,31.0,34,29,140,13.0
