DATE,lake_temp,buoy_wdir,buoy_wspd,buoy_atmp,ohare_wspd,ohare_prcp,ohare_snfall,ohare_sndpth,ohare_atmp,ohare_maxtmp,ohare_mintmp,ohare_w2dir,ohare_w2spd
2015-01-01,3.53,238.3333333333333,9.890476190476187,-5.928571428571429,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-02,3.5,216.08695652173915,6.230434782608696,-2.2043478260869565,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-03,3.49,181.91666666666663,5.654166666666666,0.3958333333333334,5.59,0.57,0.4,0.0,31.0,34,29,140,13.0
2015-01-04,3.36,313.75,8.779166666666667,-1.5458333333333334,15.88,0.13,2.2,1.2,29.0,33,2,320,25.9
2015-01-05,3.16,262.1666666666667,9.537499999999998,-16.145833333333332,10.29,0.15,1.8,2.0,2.0,6,-3,310,21.9
2015-01-06,3.03,272.9583333333333,7.837499999999999,-13.654166666666667,13.87,0.01,0.2,3.9,5.0,10,-5,270,23.9
2015-01-07,2.85,291.17391304347825,11.495652173913042,-15.956521739130432,17.45,0.0,0.0,3.1,3.0,6,-6,330,28.0
2015-01-08,2.49,232.69565217391303,11.391304347826088,-18.3,17.67,0.06,3.0,3.1,-2.0,18,-8,300,28.0
2015-01-09,2.48,266.375,11.762499999999998,-13.125000000000002,16.55,0.0,0.0,5.1,8.0,11,0,330,30.0
2015-01-10,2.37,234.0833333333333,9.195833333333333,-13.666666666666664,11.63,0.0,0.0,3.9,5.0,24,-2,180,21.9
2015-01-11,2.23,209.4583333333333,8.6,-2.833333333333334,8.28,0.19,2.6,3.9,26.0,32,22,180,18.1
2015-01-12,2.1,302.7826086956522,11.243478260869567,-4.126086956521739,12.75,0.0,0.4,5.9,23.0,28,15,10,21.0
2015-01-13,2.09,107.78260869565216,9.921739130434784,-7.726086956521739,7.61,0.0,0.2,5.9,17.0,19,3,50,19.9
2015-01-14,2.06,215.79166666666663,5.441666666666667,-9.3,6.49,0.0,0.0,5.9,11.0,19,1,220,14.1
2015-01-15,2.05,229.79166666666663,8.716666666666667,-4.575,10.07,0.0,0.0,5.1,22.0,34,17,240,21.0
2015-01-16,2.15,216.047619047619,5.571428571428571,-0.980952380952381,8.28,0.0,0.0,3.9,28.0,34,23,140,15.0
2015-01-17,2.1,189.0833333333333,12.179166666666667,2.958333333333333,15.43,0.0,0.0,3.9,34.0,42,26,210,28.0
2015-01-18,2.06,264.4166666666667,8.062500000000002,3.5875000000000004,10.51,0.0,0.0,0.0,37.0,40,27,300,19.9
2015-01-19,1.96,193.43478260869568,4.260869565217392,1.0173913043478262,5.37,0.0,0.0,0.0,32.0,41,25,100,12.1
2015-01-20,2.01,185.5217391304348,4.782608695652174,1.0130434782608695,7.38,0.0,0.0,0.0,34.0,36,29,40,17.0
2015-01-21,1.97,259.91304347826093,9.243478260869566,-4.8270566288050275e-18,7.61,0.01,0.1,0.0,31.0,33,29,20,14.1
2015-01-22,1.93,300.0833333333333,5.7666666666666675,-0.55,6.93,0.0,0.0,0.0,30.0,31,28,260,15.0
2015-01-23,1.99,233.04166666666663,7.916666666666665,-0.5666666666666665,11.41,0.0,0.0,0.0,30.0,31,29,220,17.0
2015-01-24,1.99,258.125,8.174999999999997,1.679166666666667,8.05,0.0,0.0,0.0,33.0,43,29,260,18.1
2015-01-25,1.9,55.41666666666666,11.879166666666668,-0.11249999999999998,14.54,0.08,0.6,0.0,31.0,34,24,40,25.9
2015-01-26,1.81,105.17391304347828,7.9391304347826095,-3.804347826086958,5.59,0.07,1.0,0.0,23.0,26,15,60,13.0
2015-01-27,1.83,93.21739130434784,7.573913043478258,-2.3739130434782605,6.04,0.0,0.0,1.2,27.0,32,20,40,13.0
2015-01-28,1.72,139.52173913043478,7.517391304347826,-1.6260869565217388,10.96,0.01,0.0,1.2,26.0,34,19,170,19.9
2015-01-29,1.76,250.0,9.491666666666664,1.9125,13.87,0.01,0.1,1.2,33.0,35,28,320,25.9
2015-01-30,1.73,271.0,10.441666666666665,-2.9375,7.38,0.0,0.0,1.2,27.0,30,18,350,19.9
2015-01-31,1.09,232.7826086956522,5.460869565217391,-1.152173913043478,6.93,0.12,1.3,0.0,27.0,36,19,250,16.1
2015-02-01,1.65,63.904761904761905,28.280952380952385,-1.5571428571428574,18.34,0.87,16.2,3.9,29.0,31,19,40,30.0
2015-02-02,1.6,200.7083333333333,32.42499999999999,-8.241666666666665,12.75,0.05,1.8,18.1,15.0,19,6,350,23.9
2015-02-03,1.54,229.79166666666663,6.629166666666667,-8.629166666666668,5.37,0.09,1.6,16.9,13.0,26,2,220,15.0
2015-02-04,1.5,255.91304347826087,6.586956521739131,-5.182608695652172,10.51,0.02,0.3,16.1,21.0,25,4,340,19.9
2015-02-05,1.38,275.2083333333333,7.916666666666668,-11.216666666666665,8.95,0.0,0.0,15.0,7.0,15,-2,240,19.9
2015-02-06,1.46,214.375,8.604166666666668,-6.4499999999999975,8.5,0.0,0.0,14.2,17.0,31,13,250,18.1
2015-02-07,1.41,209.3333333333333,8.166666666666668,1.475,7.61,0.0,0.0,14.2,29.0,41,18,200,16.1
2015-02-08,1.4,275.6666666666667,10.083333333333334,3.083333333333334,9.84,0.01,0.0,9.1,36.0,39,25,10,23.0
2015-02-09,1.38,125.70833333333331,16.187499999999996,-2.3875,12.3,0.0,0.0,5.9,26.0,27,19,10,21.0
2015-02-10,1.27,127.95833333333331,8.3,-3.0041666666666664,7.83,0.0,0.0,5.9,25.0,33,14,160,19.9
2015-02-11,1.19,241.7826086956522,8.891304347826088,-0.10434782608695664,13.42,0.0,0.0,5.9,31.0,35,18,310,23.0
2015-02-12,1.18,298.7391304347826,13.069565217391302,-8.482608695652173,12.97,0.0,0.0,5.9,16.0,18,8,340,28.0
2015-02-13,1.16,246.4782608695652,7.052173913043476,-10.104347826086958,10.51,0.0,0.0,5.1,11.0,26,5,220,21.0
2015-02-14,1.14,296.75,13.379166666666665,-7.3083333333333345,19.46,0.0,0.2,5.1,19.0,27,1,330,38.0
2015-02-15,0.93,237.5,8.883333333333336,-14.612500000000004,9.17,0.03,0.2,5.1,4.0,15,-3,330,21.0
2015-02-16,0.89,126.34782608695652,6.782608695652174,-11.652173913043475,4.92,0.0,0.0,5.1,12.0,18,5,280,12.1
2015-02-17,0.82,271.1818181818182,6.8090909090909095,-8.163636363636364,12.3,0.0,0.1,5.1,17.0,19,8,290,19.9
2015-02-18,0.7,302.77777777777777,12.455555555555556,-14.688888888888883,15.21,0.0,0.0,5.1,7.0,8,-3,290,25.9
2015-02-19,0.71,297.9166666666667,9.354166666666666,-18.575,11.41,0.0,0.0,5.1,-2.0,4,-8,330,23.0
2015-02-20,0.59,223.54166666666663,8.170833333333333,-14.095833333333333,13.2,0.01,0.2,5.1,3.0,18,-7,170,23.9
2015-02-21,0.56,153.66666666666666,7.079166666666668,-5.7625,4.25,0.0,0.0,5.1,22.0,32,17,200,12.1
2015-02-22,0.54,270.4583333333333,8.054166666666665,-5.775,13.2,0.0,0.0,5.1,21.0,28,2,330,21.9
2015-02-23,0.27,282.7083333333333,7.870833333333333,-14.491666666666667,9.84,0.0,0.0,5.1,4.0,12,-4,350,21.0
2015-02-24,0.52,223.9583333333333,10.666666666666666,-10.15,15.88,0.01,0.1,5.1,11.0,29,4,240,25.9
2015-02-25,0.48,211.79166666666663,7.808333333333334,-5.187500000000001,7.83,0.17,2.0,5.1,21.0,26,10,20,15.0
2015-02-26,0.52,110.04166666666669,15.1625,-7.908333333333332,12.53,0.17,3.7,9.8,17.0,19,0,40,19.9
2015-02-27,0.49,277.4782608695652,6.200000000000001,-12.078260869565218,8.28,0.0,0.0,9.8,6.0,14,-2,260,14.1
2015-02-28,0.42,199.04166666666663,7.5166666666666675,-11.2125,5.37,0.02,0.4,9.1,6.0,21,-10,180,13.0
2015-03-01,0.4,232.5,5.095833333333333,-5.879166666666667,6.93,0.0,0.0,9.1,18.0,25,10,250,17.0
2015-03-02,0.46,211.7083333333333,7.674999999999998,-5.4208333333333325,7.38,0.0,0.0,7.9,21.0,33,13,190,15.0
2015-03-03,0.5,193.63636363636363,10.53181818181818,-1.3409090909090908,13.42,0.13,0.7,9.1,28.0,34,24,190,23.0
2015-03-04,0.44,290.375,8.825000000000003,-3.7208333333333337,13.42,0.0,0.0,7.9,24.0,31,10,330,23.0
2015-03-05,0.51,293.375,7.479166666666668,-10.108333333333334,9.62,0.0,0.0,7.1,12.0,16,3,280,16.1
2015-03-06,0.48,224.16666666666663,9.812500000000002,-9.320833333333333,13.2,0.0,0.0,7.1,12.0,27,0,180,23.9
2015-03-07,0.47,241.5833333333333,8.825000000000003,1.458333333333333,10.51,0.0,0.0,7.1,32.0,44,24,280,19.9
2015-03-08,0.45,248.5,5.688888888888887,3.9166666666666665,6.71,0.0,0.0,3.9,35.0,40,28,250,16.1
2015-03-09,0.2,214.4583333333333,6.458333333333332,4.3583333333333325,6.26,0.0,0.0,3.9,37.0,50,25,180,14.1
2015-03-10,0.96,211.5833333333333,5.958333333333332,6.554166666666666,6.71,0.0,0.0,0.0,40.0,51,35,220,14.1
2015-03-11,1.02,295.61904761904765,7.6761904761904765,5.052380952380951,6.26,0.0,0.0,0.0,42.0,51,30,60,16.1
2015-03-12,0.98,131.29166666666666,4.058333333333334,3.079166666666666,8.5,0.0,0.0,0.0,42.0,56,28,170,18.1
2015-03-13,1.03,147.375,5.208333333333333,5.666666666666668,5.82,0.0,0.0,0.0,47.0,65,37,190,13.0
2015-03-14,1.07,227.25,7.483333333333335,8.25,12.3,0.0,0.0,0.0,51.0,60,37,320,25.9
2015-03-15,1.05,184.4583333333333,5.8291666666666675,7.8791666666666655,10.29,0.0,0.0,0.0,45.0,62,29,250,23.9
2015-03-16,1.1,237.29166666666663,8.058333333333335,16.2,12.75,0.0,0.0,0.0,58.0,73,42,20,30.0
2015-03-17,1.13,142.125,17.000000000000004,3.4916666666666667,14.09,0.0,0.0,0.0,45.0,45,28,20,30.0
2015-03-18,1.11,189.5,4.445833333333334,2.95,4.7,0.0,0.0,0.0,37.0,50,28,100,14.1
2015-03-19,1.1,99.34782608695652,5.243478260869567,3.378260869565218,7.83,0.0,0.0,0.0,42.0,46,37,130,21.9
2015-03-20,1.12,201.16666666666663,6.320833333333333,6.2125,8.95,0.0,0.0,0.0,42.0,50,38,220,18.1
2015-03-21,0.2,166.20833333333334,12.0375,4.5875,10.29,0.0,0.0,0.0,42.0,49,32,360,21.0
2015-03-22,0.2,47.83333333333334,11.15,-0.0041666666666666605,10.96,0.02,0.2,0.0,32.0,35,26,40,18.1
2015-03-23,1.15,69.65,10.325,-1.165,10.74,0.61,5.6,2.0,29.0,31,28,100,17.0
2015-03-24,1.13,95.75,9.895833333333334,-0.5833333333333333,11.41,0.04,0.0,5.1,30.0,37,19,100,21.9
2015-03-25,1.16,200.8333333333333,9.925,4.05,11.18,0.25,0.0,2.0,37.0,41,35,270,21.9
2015-03-26,1.2,236.79166666666663,6.916666666666668,3.091666666666665,11.18,0.0,0.0,0.0,37.0,42,31,320,17.0
2015-03-27,1.13,137.65217391304347,17.017391304347825,-2.5043478260869567,11.86,0.04,0.6,1.2,29.0,31,21,20,23.0
2015-03-28,1.12,50.54166666666666,9.7125,-3.158333333333333,7.16,0.0,0.0,0.0,27.0,36,20,40,15.0
2015-03-29,1.27,187.41666666666663,11.825,1.725,15.21,0.01,0.0,0.0,32.0,47,24,190,30.0
2015-03-30,1.47,276.1304347826087,7.81304347826087,8.639130434782606,10.74,0.0,0.0,0.0,46.0,61,34,280,21.9
2015-03-31,1.49,230.0434782608696,8.969565217391304,6.321739130434782,8.5,0.0,0.0,0.0,49.0,58,39,250,23.0
2015-04-01,1.55,172.13636363636363,7.336363636363638,97.22727272727272,11.41,0.0,0.0,0.0,52.0,72,35,180,28.0
2015-04-02,1.59,205.7826086956522,11.008695652173913,14.934782608695654,11.18,0.36,0.0,0.0,58.0,65,50,190,23.0
2015-04-03,1.57,275.25,9.358333333333334,9.175,10.51,0.0,0.0,0.0,50.0,53,30,20,21.9
2015-04-04,1.62,264.2083333333333,8.212499999999999,5.675,11.41,0.0,0.0,0.0,40.0,58,28,250,29.1
2015-04-05,1.66,227.65217391304347,8.71304347826087,11.956521739130435,9.84,0.0,0.0,0.0,53.0,66,36,240,21.0
