"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-01","10.29"," 2359"," 2351","0.00","0.0","2.0",,"16","5","  320","  320","0.0","15.0","19.9",,,,,,,,,,,,,,,,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-02","11.86"," 0928"," 2206","0.00","0.0","2.0",,"11","2","  340","  330","0.0","17.9","21.9",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-03","10.29"," 2114"," 1917","0.00","0.0","2.0",,"18","-1","  330","  340","0.0","16.1","19.9",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-04","11.41"," 1644"," 1300","0.00","0.0","2.0",,"18","7","  310","  360","0.0","17.0","21.9",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-05","8.50"," 1518"," 1500","0.00","0.0","2.0",,"23","13","  340","  340","0.0","16.1","21.0",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-06","5.37"," 1114"," 1129","0.01","0.1","2.0",,"20","10","  320","  310","0.0","12.1","14.1","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-07","5.59"," 1250"," 1952","0.27","3.9","3.0",,"22","16","  330","  300","0.0","13.0","15.0","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,"    1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-08","13.65"," 0722"," 0758","0.27","3.5","8.0",,"27","11","  340","  340","0.0","23.0","29.1","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,"    1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-09","8.50"," 0647"," 1107","0.00","0.0","7.0",,"22","6","  320","   10","0.0","15.0","17.9",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-10","11.18"," 1842"," 2054","0.00","0.0","6.0",,"18","0","  210","  220","0.0","23.9","31.1",,,,,,,,,,,,,,,,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-11","12.30"," 1808"," 1616","0.00","0.0","6.0",,"26","15","  340","  320","0.0","21.0","30.0",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-12","8.72"," 0006"," 0005","0.00","0.0","5.0",,"31","20","  330","  330","0.0","17.9","23.0",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-13","14.09"," 1147"," 1833","0.00","0.0","5.0",,"35","19","  220","  220","0.0","19.9","25.9",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-14","10.74"," 1158"," 1303","0.00","0.0","5.0",,"40","31","  240","  230","0.0","17.0","21.9","    1",,,,,,,"    1",,,"    1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-15","6.04"," 2044"," 2043","0.00","0.0","2.0",,"34","25","  210","  200","0.0","14.1","17.0","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-16","7.16"," 0628"," 0627","0.00","0.0","2.0",,"27","23","  200","  210","0.0","15.0","17.0","    1",,,,,,,,,,"    1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-17","5.37"," 2239"," 2238","0.00","0.0","2.0",,"29","19","  290","  300","0.0","13.0","17.0","    1","    1",,,,,,,"    1",,"    1",,,,,"    1",,,"    1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-18","6.71"," 2249"," 0422","0.00","0.0","2.0",,"31","27","  310","  280","0.0","12.1","15.0","    1",,,,,,,,,,"    1",,,,,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-19","4.03"," 0315"," 2225","0.00","0.0","2.0",,"38","27","  320","   50","0.0","8.9","16.1","    1",,,,,,,,,,"    1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-20","14.99"," 1855"," 1715","0.01","0.0","2.0",,"33","24","  100","   70","0.0","25.1","32.0",,,"    1","    1","    1",,,,,,,,,"    1","    1",,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-21","15.21"," 0152"," 1139","0.08","0.0","2.0",,"35","30","   90","   60","0.0","25.1","36.0",,,,,"    1",,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-22","9.84"," 0033"," 0901","0.00","0.0","2.0",,"35","33","   40","   60","0.0","16.1","25.1","    1",,,,,,,"    1",,,"    1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-23","12.08"," 1911"," 1903","0.00","0.0","1.0",,"44","34","  140","  160","0.0","17.0","23.0","    1",,,,,,,,,,"    1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-24","14.09"," 0857"," 0856","0.49","0.0","0.0",,"46","30","  190","  190","0.0","25.1","31.1","    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-25","13.42"," 1934"," 1933","0.00","0.5","0.0",,"32","19","  260","  260","0.0","25.9","38.0","    1",,,,,,,,"    1",,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-26","14.32"," 0218"," 2028","0.00","0.2","0.0",,"24","12","  270","  250","0.0","21.9","30.0",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-27","12.75"," 2354"," 2227","0.00","0.9","1.0",,"23","9","  280","  280","0.0","21.9","33.1","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-28","11.63"," 0133"," 0132","0.00","0.0","1.0",,"17","6","  300","  300","0.0","25.1","32.0",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-29","4.70"," 1706"," 2004","0.00","0.0","1.0",,"21","5","   50","   40","0.0","10.1","17.9","    1",,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-30","5.82"," 1031"," 1234","0.00","0.0","1.0",,"25","18","  110","   60","0.0","13.0","25.9",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-31","7.38"," 1221"," 1237","0.00","0.0","1.0",,"29","15","  250","  280","0.0","17.0","21.9",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-01","4.03"," 2249"," 1738","0.00","0.0","0.0",,"30","14","  130","   60","0.0","8.9","17.0",,,,,,,,"    1",,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-02","7.16"," 2330"," 1920","0.10","2.1","1.0",,"32","25","  270","  280","0.0","14.1","21.0","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-03","5.59"," 0012"," 1733","0.00","0.0","1.0",,"32","23","  270","   50","0.0","14.1","21.9","    1",,,,,,"    1","    1",,,"    1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-04","6.26"," 2253"," 2318","0.00","0.0","1.0",,"33","21","  100","  110","0.0","14.1","23.0","    1",,,,,,"    1","    1",,,"    1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-05","14.99"," 2305"," 2231","0.02","0.2","1.0",,"35","30","   40","   50","0.0","25.9","36.9","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
