DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WSF2
2013-04-01,11.63,0.0,0.0,0.0,36.0,41,29,310,21.9
2013-04-02,8.95,0.0,0.0,0.0,34.0,45,25,320,21.0
2013-04-03,6.93,0.0,0.0,0.0,35.0,44,25,60,14.1
2013-04-04,8.05,0.0,0.0,0.0,39.0,58,25,240,16.1
2013-04-05,11.86,0.0,0.0,0.0,44.0,45,36,20,21.0
2013-04-06,18.57,0.04,0.0,0.0,47.0,70,36,180,36.9
2013-04-07,11.41,0.0,0.0,0.0,53.0,59,40,270,25.1
2013-04-08,13.87,0.49,0.0,0.0,50.0,64,41,260,33.1
2013-04-09,11.86,0.2,0.0,0.0,44.0,55,39,20,23.0
2013-04-10,16.11,0.94,0.0,0.0,40.0,41,38,290,33.1
2013-04-11,9.4,0.24,0.0,0.0,41.0,46,38,70,25.9
2013-04-12,13.42,0.0,0.0,0.0,41.0,45,37,260,23.9
2013-04-13,12.53,0.0,0.0,0.0,39.0,45,34,270,23.9
2013-04-14,14.99,0.0,0.0,0.0,45.0,69,38,190,30.0
2013-04-15,13.42,0.36,0.0,0.0,61.0,66,44,200,32.0
2013-04-16,7.61,0.01,0.0,0.0,47.0,58,40,110,15.0
2013-04-17,10.96,2.01,0.0,0.0,43.0,49,42,70,25.9
2013-04-18,15.43,3.54,0.0,0.0,52.0,63,39,170,33.1
2013-04-19,19.46,0.01,0.1,0.0,41.0,40,33,250,32.0
2013-04-20,9.4,0.0,0.0,0.0,37.0,47,31,310,19.9
2013-04-21,11.41,0.0,0.0,0.0,40.0,54,29,150,19.9
2013-04-22,9.62,0.0,0.0,0.0,51.0,67,38,130,18.1
2013-04-23,9.62,0.7,0.0,0.0,53.0,59,38,340,18.1
2013-04-24,12.3,0.04,0.0,0.0,41.0,50,37,280,18.1
2013-04-25,11.86,0.07,0.0,0.0,45.0,51,38,240,23.0
2013-04-26,11.63,0.0,0.0,0.0,49.0,67,34,180,25.1
2013-04-27,6.71,0.0,0.0,0.0,57.0,68,43,110,16.1
2013-04-28,5.82,0.03,0.0,0.0,58.0,65,49,60,10.1
2013-04-29,12.08,0.0,0.0,0.0,60.0,74,47,170,23.9
2013-04-30,17.22,0.0,0.0,0.0,70.0,85,61,200,29.1
2013-05-01,9.62,0.0,0.0,0.0,74.0,84,56,180,19.9
2013-05-02,15.43,0.11,0.0,0.0,54.0,55,42,40,23.9
2013-05-03,11.41,0.05,0.0,0.0,44.0,48,40,40,21.9
2013-05-04,6.93,0.02,0.0,0.0,55.0,71,48,70,18.1
2013-05-05,9.4,0.0,0.0,0.0,58.0,69,48,50,17.0
2013-05-06,8.05,0.0,0.0,0.0,60.0,71,50,50,18.1
2013-05-07,5.82,0.0,0.0,0.0,61.0,75,48,70,12.1
2013-05-08,5.14,0.0,0.0,0.0,65.0,79,48,100,13.0
2013-05-09,5.82,0.32,0.0,0.0,64.0,75,46,220,21.9
2013-05-10,10.07,0.13,0.0,0.0,47.0,47,44,20,19.9
2013-05-11,12.75,0.0,0.0,0.0,50.0,60,43,320,31.1
2013-05-12,11.18,0.0,0.0,0.0,46.0,55,37,310,23.0
2013-05-13,5.82,0.0,0.0,0.0,48.0,64,36,30,16.1
2013-05-14,11.63,0.0,0.0,0.0,65.0,91,50,210,21.9
2013-05-15,8.5,0.0,0.0,0.0,76.0,84,60,240,21.0
2013-05-16,4.92,0.0,0.0,0.0,70.0,83,53,50,16.1
2013-05-17,6.71,0.0,0.0,0.0,61.0,70,55,40,16.1
2013-05-18,6.49,0.0,0.0,0.0,66.0,80,56,120,15.0
2013-05-19,7.61,0.0,0.0,0.0,72.0,86,58,130,21.9
2013-05-20,13.65,1.09,0.0,0.0,80.0,89,65,240,31.1
2013-05-21,12.08,0.56,0.0,0.0,73.0,81,64,220,25.1
2013-05-22,7.38,1.35,0.0,0.0,69.0,73,52,200,19.9
2013-05-23,14.76,0.06,0.0,0.0,54.0,54,42,10,28.0
2013-05-24,8.05,0.0,0.0,0.0,48.0,57,41,30,19.9
2013-05-25,5.14,0.0,0.0,0.0,50.0,57,44,70,10.1
2013-05-26,7.38,0.02,0.0,0.0,54.0,68,44,120,17.0
2013-05-27,9.17,0.23,0.0,0.0,57.0,62,53,120,17.0
2013-05-28,10.29,0.2,0.0,0.0,65.0,76,56,210,23.0
2013-05-29,8.72,0.01,0.0,0.0,71.0,84,64,180,18.1
