DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WSF2
2015-01-01,14.54,0.0,0.0,0.0,20.0,32,14,240,23.9
2015-01-02,4.7,0.0,0.0,0.0,26.0,34,15,150,12.1
2015-01-03,5.59,0.57,0.4,0.0,31.0,34,29,140,13.0
2015-01-04,15.88,0.13,2.2,1.2,29.0,33,2,320,25.9
2015-01-05,10.29,0.15,1.8,2.0,2.0,6,-3,310,21.9
2015-01-06,13.87,0.01,0.2,3.9,5.0,10,-5,270,23.9
2015-01-07,17.45,0.0,0.0,3.1,3.0,6,-6,330,28.0
2015-01-08,17.67,0.06,3.0,3.1,-2.0,18,-8,300,28.0
2015-01-09,16.55,0.0,0.0,5.1,8.0,11,0,330,30.0
2015-01-10,11.63,0.0,0.0,3.9,5.0,24,-2,180,21.9
2015-01-11,8.28,0.19,2.6,3.9,26.0,32,22,180,18.1
2015-01-12,12.75,0.0,0.4,5.9,23.0,28,15,10,21.0
2015-01-13,7.61,0.0,0.2,5.9,17.0,19,3,50,19.9
2015-01-14,6.49,0.0,0.0,5.9,11.0,19,1,220,14.1
2015-01-15,10.07,0.0,0.0,5.1,22.0,34,17,240,21.0
2015-01-16,8.28,0.0,0.0,3.9,28.0,34,23,140,15.0
2015-01-17,15.43,0.0,0.0,3.9,34.0,42,26,210,28.0
2015-01-18,10.51,0.0,0.0,0.0,37.0,40,27,300,19.9
2015-01-19,5.37,0.0,0.0,0.0,32.0,41,25,100,12.1
2015-01-20,7.38,0.0,0.0,0.0,34.0,36,29,40,17.0
2015-01-21,7.61,0.01,0.1,0.0,31.0,33,29,20,14.1
2015-01-22,6.93,0.0,0.0,0.0,30.0,31,28,260,15.0
2015-01-23,11.41,0.0,0.0,0.0,30.0,31,29,220,17.0
2015-01-24,8.05,0.0,0.0,0.0,33.0,43,29,260,18.1
2015-01-25,14.54,0.08,0.6,0.0,31.0,34,24,40,25.9
2015-01-26,5.59,0.07,1.0,0.0,23.0,26,15,60,13.0
2015-01-27,6.04,0.0,0.0,1.2,27.0,32,20,40,13.0
2015-01-28,10.96,0.01,0.0,1.2,26.0,34,19,170,19.9
2015-01-29,13.87,0.01,0.1,1.2,33.0,35,28,320,25.9
2015-01-30,7.38,0.0,0.0,1.2,27.0,30,18,350,19.9
2015-01-31,6.93,0.12,1.3,0.0,27.0,36,19,250,16.1
2015-02-01,18.34,0.87,16.2,3.9,29.0,31,19,40,30.0
2015-02-02,12.75,0.05,1.8,18.1,15.0,19,6,350,23.9
2015-02-03,5.37,0.09,1.6,16.9,13.0,26,2,220,15.0
2015-02-04,10.51,0.02,0.3,16.1,21.0,25,4,340,19.9
2015-02-05,8.95,0.0,0.0,15.0,7.0,15,-2,240,19.9
2015-02-06,8.5,0.0,0.0,14.2,17.0,31,13,250,18.1
2015-02-07,7.61,0.0,0.0,14.2,29.0,41,18,200,16.1
2015-02-08,9.84,0.01,0.0,9.1,36.0,39,25,10,23.0
2015-02-09,12.3,0.0,0.0,5.9,26.0,27,19,10,21.0
2015-02-10,7.83,0.0,0.0,5.9,25.0,33,14,160,19.9
2015-02-11,13.42,0.0,0.0,5.9,31.0,35,18,310,23.0
2015-02-12,12.97,0.0,0.0,5.9,16.0,18,8,340,28.0
2015-02-13,10.51,0.0,0.0,5.1,11.0,26,5,220,21.0
2015-02-14,19.46,0.0,0.2,5.1,19.0,27,1,330,38.0
2015-02-15,9.17,0.03,0.2,5.1,4.0,15,-3,330,21.0
2015-02-16,4.92,0.0,0.0,5.1,12.0,18,5,280,12.1
2015-02-17,12.3,0.0,0.1,5.1,17.0,19,8,290,19.9
2015-02-18,15.21,0.0,0.0,5.1,7.0,8,-3,290,25.9
