"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03","WV20"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-01","   80","   60","16.11"," 2150"," 1739","0.02","0.2","1.0",,"27","11","  233","  270",,,"  270","0.0","21.0",,,"30.0","    1",,,,,,,,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-02","   30","   10","14.09"," 0150"," 0159","0.00","0.0","1.0",,"21","8","  453","  290",,,"  270","0.0","19.9",,,"27.5",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-03","   10","   30","12.53"," 1150"," 2023","0.00","0.0","1.0",,"18","3","  418","  280",,,"  270","0.0","21.0",,,"24.2",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-04","    0","   10","12.30"," 0950"," 1818","0.00","0.0","1.0",,"7","-1","  466","  300",,,"  270","0.0","16.1",,,"20.8",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-05","   20","    0","16.33"," 1750"," 1128","0.00","0.0","0.0",,"19","-1","  472","  210",,,"  225","0.0","21.9",,,"30.0",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-06","  100","  100","10.51"," 2350"," 0208","0.25","3.3","1.0",,"27","18","    0","  200",,,"  225","0.2","17.9",,,"25.3","    1",,,,,,,,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-07","   90","   80","12.30"," 2050"," 2026","0.00","0.0","3.0",,"27","12","  242","  240",,,"  225","0.3","17.0",,,"25.3",,,,,,,,,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-08","   60","   70","8.50"," 0150"," 0141","0.00","0.0","3.0",,"19","4","  372","  230",,,"  225","0.3","16.1",,,"21.9",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-09","  100","  100","7.38"," 0650"," 0200","0.11","1.9","3.0",,"25","12","  182","  340",,,"  360","0.2","13.0",,,"18.3","    1",,,,,,,,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-10","   90","  100","7.38"," 0750"," 2113","0.00","0.0","4.0",,"29","16","   41","  180",,,"  135","0.4","13.0",,,"16.1","    1",,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-11","  100","  100","5.59"," 2250",,"0.01","0.0","4.0",,"40","25","    0","  190",,,,"0.4","8.9",,,,"    1","    1",,,,"    1",,,,,,,"    1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-12","  100","  100","8.05"," 0950"," 0952","0.00","0.0","3.0",,"47","37","    1","  240",,,"  225","0.0","23.0",,,"31.1","    1","    1",,,,,,,,,,"    1",,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-13","  100","  100","9.40"," 2350"," 2335","0.84","0.0","0.0",,"38","33","    0","   20",,,"   45","0.0","21.0",,,"23.0","    1","    1",,,,,,,,,,"    1",,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-14","  100","  100","17.00"," 0727"," 0517","0.80","0.0","0.0",,"39","35","    0","  360",,,"  360","0.0","23.0",,,"32.2","    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-15","  100","  100","12.53"," 1650"," 0314","0.00","0.0","0.0",,"36","30","    0","   40",,,"  360","0.0","16.1",,,"23.0",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-16","  100","  100","10.74"," 2350"," 2226","0.00","0.0","0.0",,"36","31","    0","  120",,,"  135","0.0","14.1",,,"18.3",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-17","  100","   90","13.87"," 1250"," 1101","0.00","0.0","0.0",,"43","30","  103","  190",,,"  180","0.0","23.0",,,"35.6","    1",,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-18","   70","   70","8.50"," 2350"," 2341","0.00","0.0","0.0",,"43","29","  273","   40",,,"   45","0.0","14.1",,,"20.8",,,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-19","  100","  100","19.01"," 0750"," 0733","0.81","2.4","1.0",,"36","32","    0","   40",,,"   45","0.0","25.1",,,"34.4","    1",,,"    1",,,,,,,,"    1",,"    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-20","  100","  100","17.67"," 0218"," 0943","0.00","0.0","0.0",,"33","26","    0","  340",,,"  315","0.0","25.9",,,"31.1","    1",,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-21","  100","  100","16.33"," 1550"," 1558","0.06","1.0","0.0",,"26","21","    0","  290",,,"  270","0.0","19.9",,,"25.3","    1",,,,,,,,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-22","  100","  100","13.20"," 2350"," 1743","0.23","3.5","3.0",,"22","16","    0","  290",,,"  270","0.3","17.0",,,"20.8","    1",,,,,,,,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-23","   80","   60","9.40"," 1450"," 1830","0.00","0.0","3.0",,"26","14","  479","  300",,,"  270","0.2","14.1",,,"17.2","    1",,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-24","   10","    0","6.93"," 1550"," 1441","0.00","0.0","2.0",,"25","5","  508","  270",,,"  270","0.2","12.1",,,"17.2",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-25","   30","   50","4.70"," 1850"," 1449","0.00","0.0","2.0",,"32","6","  382","  300",,,"  315","0.2","8.9",,,"11.4",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-26","   10","   20","4.47"," 1250"," 1322","0.00","0.0","2.0",,"30","7","  518","  240",,,"  270","0.2","12.1",,,"15.0",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-27","   90","  100","8.95"," 1650"," 2306","0.08","0.8","2.0",,"34","13","  132","   90",,,"   90","0.2","17.9",,,"21.9","    1",,,,,,,"    1",,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-28","   70","   80","17.22"," 0850"," 0847","0.00","0.0","2.0",,"32","24","  108","   60",,,"   45","0.2","23.0",,,"32.2","    1",,,,,,,,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-29","   90","   90","10.29"," 1050"," 0920","0.00","0.0","2.0",,"29","20","   91","   30",,,"  360","0.2","13.0",,,"17.2",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-30","   50","   40","10.74"," 2350"," 2159","0.00","0.0","2.0",,"34","12","  482","  240",,,"  270","0.2","21.0",,,"28.9","    1",,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-01-31","   80","   60","17.00"," 0350"," 0030","0.00","0.0","2.0",,"39","22","  461","  240",,,"  270","0.2","21.9",,,"34.4",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-02-01","   70","   40","8.28"," 2350"," 0058","0.00","0.0","1.0",,"42","32","  444","  250",,,"  270","0.0","13.0",,,"17.2",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-02-02","  100","  100","8.05"," 1050"," 1004","0.00","0.0","0.0",,"35","31","    0","   40",,,"  360","0.0","12.1",,,"17.2",,,,,,,,,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-02-03","   90","  100","9.17"," 2102"," 2100","0.02","0.4","0.0",,"35","26","    4","  340",,,"  360","0.0","25.9",,,"34.4","    1",,,,,,,,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-02-04","   60","   80","18.79"," 1450"," 0923","0.00","0.0","0.0",,"26","12","  335","  320",,,"  360","0.0","23.0",,,"34.4",,,,,,,,,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-02-05","   10","    0","14.99"," 1150"," 0056","0.00","0.0","0.0",,"14","3","  610","  340",,,"  360","0.0","21.0",,,"30.0",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-02-06","   40","   50","10.29"," 1150"," 1212","0.00","0.0","0.0",,"19","3","  531","  300",,,"  315","0.0","15.0",,,"20.8",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-02-07","   80","  100","12.30"," 1850"," 1817","0.00","0.0","0.0",,"20","9","  135","  330",,,"  315","0.0","17.0",,,"26.4",,,,,,,,,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-02-08","   30","   10","14.09"," 0950"," 0807","0.00","0.0","0.0",,"19","5","  552","  330",,,"  315","0.0","17.0",,,"24.2",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-02-09","   90","  100","12.97"," 0450"," 0438","0.00","0.0","0.0",,"35","13","   74","  240",,,"  225","0.0","17.9",,,"31.1",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-02-10","   50","   40","18.79"," 1050"," 1435","0.00","0.0","0.0",,"38","14","  405","  310",,,"  315","0.0","29.1",,,"39.1",,,,,,,,,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-02-11","   20","   20","16.11"," 1250"," 1235","0.00","0.0","0.0",,"14","-1","  488","  300",,,"  225","0.0","25.9",,,"36.7",,,,,,,,,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-02-12","    0","    0","11.86"," 0950"," 1300","0.00","0.0","0.0",,"16","-2","  549","  280",,,"  270","0.0","17.0",,,"24.2",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-02-13","   40","   30","11.41"," 1350"," 1301","0.00","0.0","0.0",,"23","11","  501","  280",,,"  270","0.0","21.0",,,"30.0",,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1995-02-14","   70","   60","8.72"," 2250"," 2247","0.00","0.0","0.0",,"30","6","  332","  170",,,"  180","0.0","21.0",,,"27.5",,,,,,,,,,,,,,,,,,,,,
